,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000107796,5.26460740812729e-36,2.86752825094614,0.988,0.635,1.69962585563982e-31,ACTA2
ENSG00000065534,1.52033763539639e-35,2.4293578854322,0.988,0.696,4.90825802211371e-31,MYLK
ENSG00000140416,6.77376274787444e-34,2.46771436124276,0.988,0.678,2.18684156552378e-29,TPM1
ENSG00000133392,3.88764452156456e-32,2.15867383250893,0.988,0.348,1.2550871573419e-27,MYH11
ENSG00000149591,3.53323302106916e-31,3.07230557975291,0.975,0.496,1.14066894852197e-26,TAGLN
ENSG00000172403,1.11799620673536e-30,2.17449712291692,0.939,0.339,3.60933895382444e-26,SYNPO2
ENSG00000050628,3.61491354130778e-28,1.77772303378459,0.914,0.191,1.1670386876758e-23,PTGER3
ENSG00000106772,7.33757001186934e-26,2.04360242100309,0.92,0.374,2.3688611026319e-21,PRUNE2
ENSG00000163359,1.04373970238809e-25,-1.54651432626418,0.871,0.983,3.36960925518972e-21,COL6A3
ENSG00000183036,1.38322309164526e-25,2.37739763762449,0.767,0.096,4.46559742906755e-21,PCP4
ENSG00000162614,6.98084936937402e-25,1.58477633355639,0.859,0.339,2.25369741040871e-20,NEXN
ENSG00000198523,8.43363445195036e-25,1.75745301499268,0.755,0.122,2.72271454646765e-20,PLN
ENSG00000182463,1.16945408566082e-23,-2.36167871003317,0.055,0.609,3.7754655701474e-19,TSHZ2
ENSG00000122786,1.26174135636185e-23,1.08286154247866,1,0.965,4.07340579487858e-19,CALD1
ENSG00000166923,6.67363093565854e-22,1.55455051401761,0.687,0.07,2.154515011268e-17,GREM1
ENSG00000038427,2.90657260059186e-21,-1.97415101497324,0.221,0.73,9.38357898375077e-17,VCAN
ENSG00000163110,6.93815903401569e-21,1.68101541347424,0.89,0.313,2.23991526254163e-16,PDLIM5
ENSG00000158258,1.10667363024565e-20,1.65615423528797,0.644,0.07,3.57278514788506e-16,CLSTN2
ENSG00000143153,1.49338734258212e-20,1.29595461626864,0.871,0.365,4.82125169679212e-16,ATP1B1
ENSG00000164120,2.30781587728647e-20,1.96028502738792,0.81,0.313,7.45055277823164e-16,HPGD
ENSG00000163431,2.95875585767305e-20,1.12395818118324,0.933,0.365,9.55204741091166e-16,LMOD1
ENSG00000145390,3.46616330956932e-20,1.71443538471657,0.92,0.357,1.11901616286136e-15,USP53
ENSG00000159176,5.18147257150264e-20,1.32715892202355,0.92,0.487,1.67278660498391e-15,CSRP1
ENSG00000163453,5.78645065434269e-20,-2.49942052708113,0.227,0.73,1.86809772924799e-15,IGFBP7
ENSG00000169851,7.17095304848524e-20,2.53031271205214,0.798,0.252,2.31507048217297e-15,PCDH7
ENSG00000137558,1.15150316774626e-19,1.11355724275452,0.601,0.043,3.71751282675203e-15,PI15
ENSG00000101335,1.32662056020205e-19,2.38979870282767,0.951,0.722,4.28286181655629e-15,MYL9
ENSG00000156113,1.73376681685224e-19,2.2764464100162,0.767,0.209,5.59729279152576e-15,KCNMA1
ENSG00000112562,2.28354763715622e-19,1.23133080407419,0.73,0.174,7.37220519179513e-15,SMOC2
ENSG00000140285,7.62054492427965e-19,1.25971713686224,0.859,0.339,2.46021672335444e-14,FGF7
ENSG00000130176,3.98786746752311e-18,1.42865908924041,0.785,0.287,1.28744313321516e-13,CNN1
ENSG00000115648,4.34616737405408e-18,1.06991809012559,0.939,0.443,1.40311667503962e-13,MLPH
