p_val	avg_log2FC	pct.1	pct.2	p_val_adj	symbol	pct.fc
ENSG00000163359	1.75899741920206e-40	-2.22008852424631	0.273	0.983	5.67874726815191e-36	COL6A3	0.277721261444557
ENSG00000038427	1.55867409214925e-34	-2.21601871867677	0.068	0.73	5.03202343909463e-30	VCAN	0.0931506849315069
ENSG00000168542	1.90388350502292e-33	-3.08365879316195	0.259	0.896	6.14649750761599e-29	COL3A1	0.2890625
ENSG00000107796	5.98671048344083e-33	3.3641749150839	0.961	0.635	1.93274961247404e-28	ACTA2	1.51338582677165
ENSG00000149591	2.81231320668823e-31	3.7963370137817	0.932	0.496	9.07927195647229e-27	TAGLN	1.87903225806452
ENSG00000078098	3.23259125699847e-30	-1.63490450377922	0.088	0.722	1.04360976140939e-25	FAP	0.121883656509695
ENSG00000108821	3.70539287671438e-30	-3.46478429909119	0.254	0.852	1.19624903631847e-25	COL1A1	0.2981220657277
ENSG00000182463	1.03995871146328e-29	-2.07394570610009	0.034	0.609	3.35740270408806e-25	TSHZ2	0.0558292282430214
ENSG00000204262	2.09309942504557e-29	-1.69659520202818	0.098	0.704	6.75736218381711e-25	COL5A2	0.139204545454545
ENSG00000065534	8.36566683988475e-28	2.6246727043328	0.927	0.696	2.70077188258839e-23	MYLK	1.33189655172414
ENSG00000079931	4.40421522439151e-26	-1.74018935055055	0.054	0.591	1.42185684304256e-21	MOXD1	0.0913705583756345
ENSG00000164692	6.2190243287386e-26	-2.55135204892131	0.38	0.922	2.00774981428997e-21	COL1A2	0.412147505422993
ENSG00000139329	2.19315917025043e-25	-2.78811352468003	0.224	0.791	7.0803950652365e-21	LUM	0.283185840707965
ENSG00000099953	8.55637885822368e-25	-2.95656800986266	0.015	0.478	2.76234135058893e-20	MMP11	0.0313807531380753
ENSG00000140416	2.64062894772012e-24	2.7463837004407	0.878	0.678	8.52500649481964e-20	TPM1	1.29498525073746
ENSG00000214548	2.08685416591275e-23	-1.42133379167423	0.044	0.53	6.73719998923271e-19	MEG3	0.0830188679245283
ENSG00000196628	6.52734727882959e-23	-1.36282679384359	0.146	0.696	2.10728879549734e-18	TCF4	0.209770114942529
ENSG00000142173	1.42020407252698e-22	-1.64500236543556	0.302	0.861	4.58498682774611e-18	COL6A2	0.35075493612079
ENSG00000164932	9.30997485540025e-22	-1.97148900181096	0.02	0.443	3.00563228231742e-17	CTHRC1	0.0451467268623025
ENSG00000101335	1.68739710865048e-21	3.28786039461439	0.898	0.722	5.44759282556722e-17	MYL9	1.24376731301939
ENSG00000035862	3.91350762626736e-21	-1.35157849211658	0.288	0.835	1.26343680206416e-16	TIMP2	0.344910179640719
