,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000158022,0,1.14122215149929,0.344,0.002,0,TRIM63
ENSG00000121769,0,1.01348444772325,0.284,0.011,0,FABP3
ENSG00000050628,0,2.57959386498625,0.555,0.011,0,PTGER3
ENSG00000122477,0,0.833592527000863,0.29,0.014,0,LRRC39
ENSG00000143387,0,4.4905463519023,0.772,0.064,0,CTSK
ENSG00000163395,0,1.53277846035628,0.406,0.003,0,IGFN1
ENSG00000163431,0,1.77663622283416,0.567,0.039,0,LMOD1
ENSG00000077585,0,0.944586664016838,0.435,0.041,0,GPR137B
ENSG00000183023,0,2.84322647225308,0.509,0.06,0,SLC8A1
ENSG00000078098,0,1.49263732493615,0.329,0.024,0,FAP
ENSG00000128710,0,0.682929307760302,0.234,0.001,0,HOXD10
ENSG00000168542,0,2.45184513020771,0.611,0.063,0,COL3A1
ENSG00000175084,0,2.33157854118816,0.545,0.036,0,DES
ENSG00000135914,0,1.03083325615404,0.402,0.021,0,HTR2B
ENSG00000163359,0,2.12828346653787,0.644,0.074,0,COL6A3
ENSG00000132329,0,2.75861965188989,0.704,0.066,0,RAMP1
ENSG00000121440,0,2.46633190750451,0.497,0.038,0,PDZRN3
ENSG00000065534,0,3.69792092894397,0.892,0.191,0,MYLK
ENSG00000158258,0,1.31661345358019,0.308,0.02,0,CLSTN2
ENSG00000159674,0,1.84922153261129,0.636,0.09,0,SPON2
ENSG00000172403,0,2.23489534840587,0.567,0.045,0,SYNPO2
ENSG00000164107,0,0.613139899140878,0.236,0.001,0,HAND2
ENSG00000237125,0,0.897298870406286,0.331,0.003,0,HAND2-AS1
ENSG00000113494,0,1.19796633711606,0.35,0.009,0,PRLR
ENSG00000164188,0,1.08198741120349,0.3,0.015,0,RANBP3L
ENSG00000132840,0,0.711169513152866,0.317,0.02,0,BHMT2
ENSG00000138829,0,1.38824434743309,0.246,0.008,0,FBN2
ENSG00000145808,0,1.35223650529159,0.246,0.006,0,ADAMTS19
ENSG00000249669,0,2.41341324316258,0.476,0.032,0,CARMN
ENSG00000241956,0,2.00433377063525,0.19,0.005,0,AC109466.1
ENSG00000174705,0,2.03230278016962,0.611,0.071,0,SH3PXD2B
ENSG00000112208,0,1.49254919327445,0.497,0.038,0,BAG2
ENSG00000112210,0,1.11012745999627,0.443,0.029,0,RAB23
ENSG00000196376,0,1.69516594178197,0.292,0.008,0,SLC35F1
ENSG00000198523,0,1.87664067665619,0.491,0.028,0,PLN
ENSG00000146374,0,1.44740906914783,0.416,0.04,0,RSPO3
ENSG00000091831,0,2.68458849128594,0.474,0.047,0,ESR1
ENSG00000112562,0,1.2775882899256,0.408,0.04,0,SMOC2
ENSG00000186340,0,1.70566830973566,0.522,0.032,0,THBS2
ENSG00000136267,0,1.47872831273308,0.215,0.005,0,DGKB
ENSG00000004846,0,1.69186740587779,0.344,0.002,0,ABCB5
ENSG00000136235,0,2.21701777421903,0.642,0.077,0,GPNMB
ENSG00000253293,0,0.66300138043,0.273,0.002,0,HOXA10
ENSG00000164692,0,2.27459556292056,0.677,0.108,0,COL1A2
ENSG00000130226,0,1.8195174013679,0.36,0.028,0,DPP6
ENSG00000253496,0,0.721249558673306,0.124,0.004,0,AC011586.2
ENSG00000156687,0,2.17774782226967,0.24,0.004,0,UNC5D
ENSG00000253452,0,0.748504954206524,0.114,0.002,0,AC124290.1
ENSG00000253524,0,1.02396412198968,0.141,0.001,0,AC124290.2
ENSG00000165078,0,2.54871382920116,0.306,0.012,0,CPA6
ENSG00000137558,0,0.732096121043864,0.263,0.006,0,PI15
ENSG00000156103,0,0.797402499133577,0.211,0.009,0,MMP16
ENSG00000132561,0,2.08142327097167,0.563,0.053,0,MATN2
ENSG00000156804,0,2.04899041616908,0.59,0.079,0,FBXO32
ENSG00000198467,0,2.60854984161662,0.865,0.151,0,TPM2
ENSG00000106772,0,2.20491433303753,0.518,0.047,0,PRUNE2
ENSG00000169071,0,1.33132510229561,0.369,0.033,0,ROR2
ENSG00000106809,0,2.1841838152307,0.578,0.045,0,OGN
ENSG00000106819,0,1.07769194001853,0.323,0.024,0,ASPN
ENSG00000136842,0,2.76944558835621,0.733,0.063,0,TMOD1
ENSG00000077943,0,2.42332270426095,0.509,0.048,0,ITGA8
ENSG00000156113,0,2.29093695830244,0.424,0.037,0,KCNMA1
ENSG00000107796,0,3.81321236116313,0.892,0.112,0,ACTA2
ENSG00000107518,0,2.43132854388626,0.329,0.006,0,ATRNL1
ENSG00000170370,0,0.898566352628114,0.333,0,0,EMX2
ENSG00000148848,0,2.38922065688984,0.406,0.023,0,ADAM12
ENSG00000154493,0,0.614794733276424,0.201,0.003,0,C10orf90
ENSG00000072952,0,1.09637941123669,0.391,0.029,0,MRVI1
ENSG00000109846,0,2.89705213491435,0.681,0.096,0,CRYAB
ENSG00000149294,0,0.773220943684803,0.213,0.01,0,NCAM1
ENSG00000149591,0,2.97176488132429,0.843,0.196,0,TAGLN
ENSG00000134533,0,1.55540192079811,0.482,0.046,0,RERG
ENSG00000185664,0,3.09955898900161,0.513,0.007,0,PMEL
ENSG00000166148,0,0.635622868699127,0.263,0.005,0,AVPR1A
ENSG00000166006,0,2.52238545789214,0.294,0.002,0,KCNC2
ENSG00000132938,0,1.05853102333518,0.3,0.022,0,MTUS2
ENSG00000231817,0,0.666188492413978,0.232,0.001,0,LINC01198
ENSG00000258537,0,0.839795817506094,0.164,0.002,0,FRMD6-AS2
ENSG00000166923,0,1.68644175889184,0.342,0.005,0,GREM1
ENSG00000128918,0,1.97364932899096,0.563,0.051,0,ALDH1A2
ENSG00000137809,0,0.84874783680834,0.327,0.007,0,ITGA11
ENSG00000133392,0,2.56589055852675,0.652,0.07,0,MYH11
ENSG00000087245,0,2.64501879212145,0.563,0.083,0,MMP2
ENSG00000103154,0,0.967361389126455,0.352,0.001,0,NECAB2
ENSG00000108821,0,2.63517037119965,0.573,0.085,0,COL1A1
ENSG00000182612,0,0.851895161972265,0.304,0.012,0,TSPAN10
ENSG00000130176,0,2.30364298231833,0.598,0.039,0,CNN1
ENSG00000105270,0,0.710862200072436,0.288,0.02,0,CLIP3
ENSG00000183036,0,2.90046371619832,0.511,0.012,0,PCP4
ENSG00000099953,0,1.52152329145487,0.17,0.004,0,MMP11
ENSG00000172346,0,0.625044207860726,0.323,0.009,0,CSDC2
ENSG00000101850,0,1.0023152256361,0.406,0.014,0,GPR143
ENSG00000102109,0,2.22197248786247,0.53,0.068,0,PCSK1N
ENSG00000101951,0,0.62083257229139,0.114,0.001,0,PAGE4
ENSG00000139278,1.56597821569682e-299,1.07352103631226,0.447,0.054,5.05560407155561e-295,GLIPR1
ENSG00000269043,7.04231182122593e-298,0.678668450669886,0.168,0.007,2.27353994836458e-293,AC008554.1
ENSG00000158747,9.37948145109368e-297,1.76795160865595,0.687,0.131,3.02807179167108e-292,NBL1
ENSG00000129116,1.17960106105932e-296,2.89260992480756,0.812,0.215,3.80822406552391e-292,PALLD
ENSG00000048052,3.17074786232804e-296,3.22305897352511,0.445,0.055,1.02364423987398e-291,HDAC9
ENSG00000011465,1.29560181291474e-295,0.837595363060365,0.787,0.163,4.18272089281394e-291,DCN
ENSG00000115641,1.81173142537853e-294,1.50562331285753,0.557,0.087,5.84899373369205e-290,FHL2
ENSG00000151067,3.49854795877601e-289,2.92710880297962,0.441,0.054,1.12947122301125e-284,CACNA1C
ENSG00000077942,1.47714954039126e-287,0.668784967908624,0.627,0.099,4.76882957619914e-283,FBLN1
ENSG00000253693,9.19097475163527e-277,1.24247446347156,0.106,0.003,2.96721428881793e-272,AC008415.1
ENSG00000082175,9.87690089158174e-275,0.689420578220886,0.234,0.016,3.18865868383825e-270,PGR
ENSG00000118526,8.59153091594599e-271,1.85256756754241,0.455,0.062,2.773689840904e-266,TCF21
ENSG00000187955,5.24308231958907e-262,1.17301622057088,0.443,0.058,1.69267669605614e-257,COL14A1
ENSG00000067715,4.79431842267581e-259,1.1684172500799,0.308,0.029,1.54779775957666e-254,SYT1
ENSG00000185567,6.13962391201338e-258,0.689877697604288,0.323,0.032,1.9821161837544e-253,AHNAK2
ENSG00000177990,2.86530731435631e-257,1.13033519261049,0.308,0.03,9.2503581336679e-253,DPY19L2
ENSG00000169851,4.06415102895453e-254,1.86751160313054,0.422,0.055,1.31207051818768e-249,PCDH7
ENSG00000130203,3.88913788666594e-250,3.66515579181667,0.65,0.154,1.25556927533123e-245,APOE
ENSG00000154736,3.35836914897545e-249,0.593861956426385,0.224,0.016,1.08421589605524e-244,ADAMTS5
ENSG00000198739,6.79139615290356e-248,0.687807366004373,0.101,0.003,2.19253433400338e-243,LRRTM3
ENSG00000151692,4.23215260411102e-246,1.34178467972737,0.427,0.058,1.3663081467112e-241,RNF144A
ENSG00000165197,1.98824502298695e-245,0.755464217687404,0.238,0.018,6.41885023221106e-241,VEGFD
ENSG00000260802,6.515283462129e-245,0.749706404446758,0.168,0.009,2.10339411291373e-240,SERTM2
ENSG00000144857,1.69755336008467e-243,0.697732849869688,0.284,0.026,5.48038126769734e-239,BOC
ENSG00000169306,2.89140604369838e-237,1.97530592320017,0.17,0.01,9.33461527147584e-233,IL1RAPL1
ENSG00000154277,3.09727719725056e-237,0.76634321287688,0.24,0.019,9.99924970360369e-233,UCHL1
ENSG00000106624,3.3252804005641e-236,1.58516519045492,0.625,0.129,1.07353352451811e-231,AEBP1
ENSG00000259995,2.51034187977106e-234,0.68107172803798,0.104,0.003,8.1043877246529e-230,AC106729.1
ENSG00000083067,7.32500974715868e-227,0.862260950899842,0.207,0.015,2.36480614677271e-222,TRPM3
ENSG00000145362,1.30580249666629e-225,1.12299016680389,0.298,0.031,4.21565278023745e-221,ANK2
ENSG00000086300,2.40330520785694e-221,0.842784041666478,0.344,0.042,7.75883053304534e-217,SNX10
ENSG00000152377,1.5184557138722e-220,0.742520132125214,0.251,0.023,4.902182426665e-216,SPOCK1
ENSG00000122786,7.23255665753532e-220,2.28479902327394,0.874,0.337,2.3349585913187e-215,CALD1
ENSG00000120907,5.02208334511479e-217,0.707275452194498,0.133,0.006,1.62132938713686e-212,ADRA1A
ENSG00000174944,5.50953810176599e-216,0.703018031143313,0.18,0.012,1.77869928077413e-211,P2RY14
ENSG00000145936,6.16833733791709e-215,0.684195338563534,0.255,0.024,1.99138602617315e-210,KCNMB1
ENSG00000197256,1.18735695101735e-211,1.30826732583341,0.586,0.127,3.8332631806644e-207,KANK2
ENSG00000184408,7.67538752659998e-210,1.05202495510489,0.124,0.006,2.47792210908754e-205,KCND2
