,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000101955,5.53480166985357e-158,-1.52421680493067,0.386,0.861,1.78685537109553e-153,SRPX
ENSG00000146674,1.68810175474665e-137,-1.82225795768818,0.348,0.861,5.44986770502407e-133,IGFBP3
ENSG00000269028,1.17492006048603e-127,3.63284505400055,0.502,0.052,3.79311192327308e-123,MTRNR2L12
ENSG00000267206,4.08079851704799e-127,-2.06072841468223,0.061,0.48,1.31744499324377e-122,LCN6
ENSG00000165507,6.62949177050803e-117,1.57166286425003,0.867,0.561,2.14026512319081e-112,DEPP1
ENSG00000231500,1.55037277703702e-111,-1.091238145543,0.837,0.902,5.0052234733863e-107,RPS18
ENSG00000197756,6.79894616935291e-108,-1.02863240844039,0.821,0.9,2.19497178131389e-103,RPL37A
ENSG00000167526,4.30093378279523e-106,-0.915359009210265,0.867,0.903,1.38851346243761e-101,RPL13
ENSG00000173369,6.14892728959743e-106,-0.810234061290598,0.102,0.537,1.98511968617364e-101,C1QB
ENSG00000198502,3.63920676867472e-105,1.61964906280726,0.478,0.067,1.17488151319895e-100,HLA-DRB5
ENSG00000142541,1.03629640259419e-104,-1.10673097180452,0.814,0.896,3.34557930613509e-100,RPL13A
ENSG00000105372,9.77908740388307e-104,-0.985890561691859,0.814,0.902,3.15708057746961e-99,RPS19
ENSG00000140988,2.16223761398424e-101,-1.14657693426185,0.786,0.898,6.98056791298672e-97,RPS2
ENSG00000152583,1.76069950304203e-91,-1.15802621601671,0.687,0.929,5.6842422756209e-87,SPARCL1
ENSG00000166441,3.16903285448149e-90,-0.869752792637315,0.75,0.899,1.02309056674081e-85,RPL27A
ENSG00000142798,7.30196013470426e-90,-1.07947257260382,0.344,0.753,2.35736480988792e-85,HSPG2
ENSG00000085662,2.24978803258308e-89,-0.929018415033257,0.204,0.599,7.26321568439123e-85,AKR1B1
ENSG00000008988,1.64639467871746e-88,-0.893239525796754,0.703,0.888,5.31522058077146e-84,RPS20
ENSG00000125691,9.90813155353449e-87,-0.843462075228142,0.684,0.876,3.19874119074308e-82,RPL23
ENSG00000213741,1.89203475965022e-85,-0.937447795781654,0.766,0.892,6.10824501805477e-81,RPS29
ENSG00000274736,4.88081682002266e-84,-1.2641424984823,0.02,0.298,1.57572290217611e-79,CCL23
ENSG00000168028,3.95751912498766e-83,-0.92329881721677,0.64,0.867,1.27764547431102e-78,RPSA
ENSG00000164587,1.8507693131443e-81,-0.792446794251392,0.84,0.902,5.97502365055506e-77,RPS14
ENSG00000142534,4.2702190079485e-80,-0.761847804539811,0.752,0.888,1.37859750452609e-75,RPS11
ENSG00000137818,3.5443797316421e-78,-0.740258359846026,0.878,0.899,1.14426755256333e-73,RPLP1
ENSG00000105640,1.21285642124136e-77,-0.865537812420824,0.79,0.896,3.91558567033561e-73,RPL18A
ENSG00000170889,2.97913452619116e-77,-0.773441388651959,0.778,0.887,9.61783790435555e-73,RPS9
ENSG00000170540,9.66379917671094e-76,-1.07126157655703,0.363,0.722,3.11986092620936e-71,ARL6IP1
ENSG00000144810,5.80764074941798e-75,-1.08639902546269,0.103,0.434,1.8749387395421e-70,COL8A1
ENSG00000111666,2.69128681663258e-73,-0.731330897557512,0.132,0.472,8.68855035881662e-69,CHPT1
ENSG00000101439,4.00143566005305e-73,-0.77983489154986,0.515,0.834,1.29182348849153e-68,CST3
ENSG00000204389,9.36020500584529e-72,-1.52134367977811,0.302,0.646,3.02184858408709e-67,HSPA1A
ENSG00000161970,1.60103909412178e-71,-0.786098980126757,0.782,0.892,5.16879461146274e-67,RPL26
