,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000142973,6.94868900760027e-137,-2.76660092874202,0.05,0.546,2.24331475921367e-132,CYP4B1
ENSG00000108691,1.72186257656392e-105,4.48087052926895,0.714,0.102,5.55886114217896e-101,CCL2
ENSG00000197614,2.44219321619634e-93,-1.89385721238528,0.355,0.833,7.88437657916827e-89,MFAP5
ENSG00000131386,3.11536268014982e-86,-1.5273169813101,0.065,0.448,1.00576368765957e-81,GALNT15
ENSG00000173369,2.90303807936768e-84,-1.1866245208206,0.058,0.432,9.3721681354306e-80,C1QB
ENSG00000157514,8.49190023416235e-83,-1.60363412907333,0.356,0.786,2.74152507159697e-78,TSC22D3
ENSG00000189067,9.1281124778218e-82,1.73891550039882,0.786,0.356,2.94691983233999e-77,LITAF
ENSG00000188783,7.38479561535232e-80,-1.67051914466306,0.599,0.86,2.38410741646034e-75,PRELP
ENSG00000146278,5.35711122885078e-77,1.61755695236058,0.908,0.575,1.72948978912219e-72,PNRC1
ENSG00000211445,9.57276529345418e-72,-1.99466926682304,0.73,0.857,3.09047154733875e-67,GPX3
ENSG00000265972,6.86915499794665e-70,-1.58014637689583,0.543,0.817,2.2176379995371e-65,TXNIP
ENSG00000105835,8.33885220901775e-70,1.3781882410145,0.802,0.359,2.69211504715929e-65,NAMPT
ENSG00000269028,2.02627209281088e-67,3.00291584870763,0.5,0.036,6.54161682443065e-63,MTRNR2L12
ENSG00000107562,3.20482844076605e-67,1.79072557821918,0.628,0.149,1.03464681381691e-62,CXCL12
ENSG00000125148,2.40256415848738e-65,1.84886857755916,0.954,0.831,7.75643812926065e-61,MT2A
ENSG00000109971,2.8976997240586e-65,1.50104198443551,0.86,0.575,9.35493378915078e-61,HSPA8
ENSG00000107317,1.14741761604451e-64,2.41777675365736,0.716,0.278,3.70432303163811e-60,PTGDS
ENSG00000166741,2.17750251789399e-64,1.19166032771984,0.963,0.866,7.02984912876896e-60,NNMT
ENSG00000164825,7.238151948318e-63,-0.95954851740087,0.003,0.212,2.33676497499498e-58,DEFB1
ENSG00000159403,7.33095286610102e-63,-1.05785270994435,0.807,0.933,2.36672482329205e-58,C1R
ENSG00000173372,1.62858353237662e-62,-1.05352106310319,0.072,0.39,5.25771907592468e-58,C1QA
ENSG00000180447,1.19156119942938e-61,-1.31996880501467,0.158,0.517,3.84683617623781e-57,GAS1
ENSG00000090339,1.67176463673236e-60,2.14563652681295,0.508,0.067,5.39712495322675e-56,ICAM1
ENSG00000181061,1.57049153247553e-59,-1.42309728247803,0.215,0.552,5.07017486344399e-55,HIGD1A
ENSG00000137801,1.72414221162951e-58,2.01938764559096,0.694,0.285,5.56622071602472e-54,THBS1
ENSG00000167779,2.16816409051397e-58,-1.48451878532667,0.83,0.931,6.9997009498153e-54,IGFBP6
ENSG00000130208,4.15075340365211e-56,-1.28785613464604,0.141,0.481,1.34002922883505e-51,APOC1
ENSG00000069399,4.15430965797355e-55,1.5349289246416,0.485,0.067,1.34117732998018e-50,BCL3
ENSG00000115310,3.88276453043055e-54,-0.960264776178831,0.831,0.906,1.2535117010042e-49,RTN4
ENSG00000086061,6.24034217389072e-53,1.20817550712137,0.708,0.343,2.01463206741888e-48,DNAJA1
ENSG00000148154,2.0930463058578e-51,1.18651117005333,0.481,0.076,6.75719069383134e-47,UGCG
ENSG00000188257,3.19886234525382e-51,-1.51161095810969,0.299,0.67,1.03272071954174e-46,PLA2G2A
ENSG00000124762,1.30859083544794e-50,1.86359575263716,0.612,0.225,4.22465465316014e-46,CDKN1A
ENSG00000176046,1.32972904522118e-50,-1.33945608356797,0.663,0.793,4.29289724959205e-46,NUPR1
ENSG00000112936,1.41711253661467e-50,1.38623743628649,0.839,0.481,4.5750061132068e-46,C7
ENSG00000139329,6.07491057211249e-50,0.994506346377435,0.972,0.833,1.9612241291008e-45,LUM
ENSG00000168906,3.9364689824977e-49,1.35276823019485,0.571,0.174,1.27084964630956e-44,MAT2A
ENSG00000106538,4.20830939369895e-48,1.00342078978111,0.893,0.595,1.35861060466177e-43,RARRES2
ENSG00000170323,8.70600817150922e-48,-0.911355159626247,0.083,0.359,2.81064767809004e-43,FABP4
ENSG00000184009,5.23028716329678e-47,1.13386496282175,0.939,0.791,1.68854590779873e-42,ACTG1
ENSG00000175899,7.89003900739557e-47,1.43193304457922,0.796,0.439,2.54722019314759e-42,A2M
ENSG00000163430,8.39311314927266e-47,-1.17541682867631,0.669,0.851,2.70963264911119e-42,FSTL1
