,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000149021,4.14045538091991e-300,2.48305080011873,0.703,0.233,1.33670461517618e-295,SCGB1A1
ENSG00000168484,2.10151378155473e-264,0.862107678534145,0.883,0.354,6.7845270923713e-260,SFTPC
ENSG00000270641,4.43183163386732e-260,-2.68406771927455,0.161,0.491,1.43077252467772e-255,TSIX
ENSG00000221869,2.7859925645491e-234,1.74639473322916,0.552,0.177,8.99429839539033e-230,CEBPD
ENSG00000267262,1.83456835270927e-219,-2.19351936647581,0.04,0.33,5.9227204698866e-215,AC011444.2
ENSG00000161055,5.157041390186e-211,1.73218742642033,0.614,0.229,1.66489924240765e-206,SCGB3A1
ENSG00000021355,2.02978342653588e-195,1.4717242025884,0.515,0.18,6.55295281422845e-191,SERPINB1
ENSG00000099860,2.00683233508102e-189,1.52630385878948,0.519,0.181,6.47885751057556e-185,GADD45B
ENSG00000164265,1.64892846121325e-187,2.33217443746813,0.415,0.107,5.32340064418087e-183,SCGB3A2
ENSG00000137845,4.17423757852747e-186,0.997418672032401,0.457,0.129,1.34761085985181e-181,ADAM10
ENSG00000197943,4.91948140262707e-180,1.74275015848243,0.481,0.167,1.58820537602412e-175,PLCG2
ENSG00000156508,5.17930695060672e-173,0.954795502150823,0.826,0.365,1.67208745593387e-168,EEF1A1
ENSG00000166669,7.89314594089855e-171,-2.43871883492648,0.45,0.621,2.54822323555969e-166,ATF7IP2
ENSG00000081041,2.15787673624412e-170,1.67739018065705,0.372,0.087,6.96648925529053e-166,CXCL2
ENSG00000105835,8.36871862771345e-170,1.19683892926393,0.502,0.181,2.70175712177101e-165,NAMPT
ENSG00000147454,4.13765673255908e-169,0.922925075783708,0.397,0.099,1.33580109953937e-164,SLC25A37
ENSG00000108691,1.48279430849577e-168,2.33680615243341,0.239,0.012,4.78705314554774e-164,CCL2
ENSG00000228696,2.93810218219948e-166,0.873570018047377,0.247,0.016,9.48536908501279e-162,ARL17B
ENSG00000075624,4.80917221813399e-162,0.603627033891534,0.896,0.416,1.55259315890238e-157,ACTB
ENSG00000229117,1.03195743825752e-155,1.02909370399261,0.756,0.365,3.33157139367059e-151,RPL41
ENSG00000125148,1.67371480378958e-152,1.96713404413747,0.406,0.134,5.40342087255428e-148,MT2A
ENSG00000205542,6.57203432525681e-149,0.696086173489145,0.836,0.383,2.12171556156591e-144,TMSB4X
ENSG00000171223,4.11029334742752e-144,1.1388747723208,0.438,0.15,1.3269671042835e-139,JUNB
ENSG00000157765,2.28914503095646e-140,0.818669724427561,0.625,0.28,7.39027581793984e-136,SLC34A2
ENSG00000269028,1.38471762451467e-138,2.06092000726185,0.26,0.039,4.47042237898316e-134,MTRNR2L12
ENSG00000132475,4.31961566470261e-128,0.60878147649835,0.798,0.391,1.39454472119259e-123,H3F3B
ENSG00000120833,1.68628234108002e-127,0.857060389400245,0.208,0.02,5.44399390994275e-123,SOCS2
ENSG00000223482,6.21336199366583e-126,0.634560514381925,0.413,0.133,2.00592178603508e-121,NUTM2A-AS1
ENSG00000182185,2.80362108927726e-125,1.01402286098666,0.208,0.02,9.05121032462271e-121,RAD51B
ENSG00000167772,4.90693196049006e-119,1.04691937228934,0.196,0.018,1.58415391412461e-114,ANGPTL4
ENSG00000153395,3.49429603115381e-116,0.71470954893869,0.531,0.237,1.1280985306977e-111,LPCAT1
ENSG00000182010,1.14792619395037e-115,-0.673944700174235,0.614,0.821,3.70596492454938e-111,RTKN2
ENSG00000125968,4.78473702720014e-115,0.979992749406888,0.618,0.32,1.54470450186129e-110,ID1
ENSG00000175793,1.51092166590675e-114,1.22981848620461,0.337,0.107,4.87785950621336e-110,SFN
ENSG00000147403,4.17643950654557e-112,0.686950859460997,0.729,0.373,1.34832173029317e-107,RPL10
ENSG00000184557,1.20226981685728e-110,0.883637828492379,0.266,0.062,3.88140787674206e-106,SOCS3
ENSG00000124145,3.53385750550423e-110,0.810993905550448,0.642,0.351,1.14087055707699e-105,SDC4
ENSG00000125848,3.93999441822334e-110,0.774085379369199,0.532,0.245,1.27198779797922e-105,FLRT3
ENSG00000188313,4.29787083040316e-110,0.668441696441463,0.342,0.105,1.38752461888736e-105,PLSCR1
ENSG00000137818,5.30965017787954e-110,0.734979852970745,0.729,0.365,1.71416746342663e-105,RPLP1
ENSG00000090339,1.65616038323307e-109,0.931447622881706,0.736,0.471,5.34674818122965e-105,ICAM1
ENSG00000173812,2.03412037179146e-105,0.764357869070647,0.723,0.396,6.56695420829155e-101,EIF1
ENSG00000158321,2.88640832324346e-105,0.970178882703841,0.244,0.051,9.31848063075918e-101,AUTS2
ENSG00000177954,1.17539678698807e-104,0.943950080440873,0.647,0.358,3.79465098711229e-100,RPS27
ENSG00000133112,1.35173240982419e-102,0.599296617285689,0.715,0.358,4.36393291187642e-98,TPT1
ENSG00000129538,2.59844187616398e-100,0.67487264571523,0.708,0.374,8.3888097530078e-96,RNASE1
ENSG00000185303,5.35351998513096e-100,0.673379735804273,0.369,0.132,1.72833039199968e-95,SFTPA2
ENSG00000143947,7.28523050515893e-99,0.91681406331738,0.617,0.341,2.35196381628551e-94,RPS27A
ENSG00000164171,1.91983799501077e-97,1.49068784248319,0.391,0.155,6.19800498309276e-93,ITGA2
ENSG00000112306,2.83613912667075e-96,0.834002014278949,0.651,0.353,9.15619155654386e-92,RPS12
