,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000171346,2.96712750765262e-28,-1.50069320714832,0.591,0.933,9.57907444570571e-24,KRT15
ENSG00000142973,1.38493106399225e-25,-1.35006910354365,0.601,0.896,4.47111144699257e-21,CYP4B1
ENSG00000186081,2.6170970204456e-24,-1.22425378457929,0.464,0.815,8.44903602080658e-20,KRT5
ENSG00000130770,7.13131733808941e-24,-0.93052181579281,0.544,0.852,2.30227448942878e-19,ATP5IF1
ENSG00000198435,9.89745799917528e-24,-0.606891296679253,0.054,0.341,3.19529534045375e-19,NRARP
ENSG00000130522,1.61437615766007e-23,-2.23939778137982,0.352,0.681,5.21185198738976e-19,JUND
ENSG00000197728,4.11237333927014e-23,-1.25260271787391,0.764,0.852,1.32763860884997e-18,RPS26
ENSG00000166165,5.25976403393036e-23,-0.870845671968163,0.281,0.689,1.69806222071408e-18,CKB
ENSG00000129757,9.55887945812929e-23,-0.642925783601155,0.114,0.474,3.08598864426246e-18,CDKN1C
ENSG00000176153,1.50864223354364e-22,-0.778573294240114,0.131,0.489,4.8705005867723e-18,GPX2
ENSG00000090013,1.51384142848067e-22,-0.915559209748148,0.439,0.8,4.88728566770698e-18,BLVRB
ENSG00000125691,1.59281535250804e-22,-1.04550846141386,0.801,0.859,5.14224508403697e-18,RPL23
ENSG00000008394,9.73315858424204e-22,-0.849829756811458,0.792,0.926,3.1422529173367e-17,MGST1
ENSG00000132386,1.45089208213364e-21,-1.11589295115514,0.623,0.859,4.68405999796025e-17,SERPINF1
ENSG00000115457,6.46199129633056e-20,-1.0101546459275,0.692,0.911,2.08618927010736e-15,IGFBP2
ENSG00000105372,7.20807952354766e-20,-0.969660713799619,0.843,0.859,2.32705639338213e-15,RPS19
ENSG00000197756,8.49479210725065e-20,-0.934823565827246,0.846,0.859,2.7424586839048e-15,RPL37A
ENSG00000142534,1.17310746417509e-19,-0.845009899149901,0.817,0.859,3.78726013734287e-15,RPS11
ENSG00000166347,1.23753503277712e-19,-1.04741409989542,0.742,0.896,3.99525809981764e-15,CYB5A
ENSG00000148303,2.04419156550653e-19,-0.934308746850022,0.809,0.867,6.59946805008127e-15,RPL7A
ENSG00000241343,2.19743283806475e-19,-1.1189214524915,0.754,0.844,7.09419217440825e-15,RPL36A
ENSG00000145592,3.62624421550912e-19,-0.916011702617119,0.804,0.859,1.17069668253496e-14,RPL37
ENSG00000250722,4.65828608958924e-19,-1.06914328925663,0.511,0.822,1.50388108116299e-14,SELENOP
ENSG00000163931,9.7104876956548e-19,-0.984843526251646,0.566,0.807,3.13493384766519e-14,TKT
ENSG00000087086,1.25244966211855e-18,-0.916638332153805,0.889,0.859,4.04340848918353e-14,FTL
ENSG00000171345,1.34406210596194e-18,-0.921138149370787,0.776,0.904,4.33917010288754e-14,KRT19
ENSG00000248144,1.5319296653455e-18,-0.872637918824805,0.271,0.659,4.9456817316014e-14,ADH1C
ENSG00000197943,1.63285043097612e-18,2.74626744445171,0.429,0.022,5.27149433136332e-14,PLCG2
ENSG00000213741,2.41362667184263e-18,-0.97956885045739,0.777,0.859,7.79215234737674e-14,RPS29
ENSG00000176171,6.44779181813149e-18,-0.732821910479121,0.333,0.726,2.08160511056557e-13,BNIP3
ENSG00000128422,6.6038544670119e-18,-1.06849251802056,0.658,0.963,2.13198837613012e-13,KRT17
ENSG00000197061,9.11499007090988e-18,-0.863615118986893,0.374,0.719,2.94268339449254e-13,HIST1H4C
ENSG00000159388,1.12206489608067e-17,-1.16939539812973,0.434,0.748,3.62247431050684e-13,BTG2
ENSG00000105193,1.44578283750512e-17,-0.785128005631623,0.827,0.859,4.66756531260151e-13,RPS16
ENSG00000184564,1.46930484063917e-17,-0.597848122293469,0.161,0.504,4.74350374751951e-13,SLITRK6
ENSG00000171858,1.56528590858749e-17,-0.905307786866692,0.771,0.867,5.05336902728385e-13,RPS21
ENSG00000185551,1.91093709690729e-17,-0.61997377640405,0.221,0.585,6.16926932365549e-13,NR2F2
ENSG00000054148,3.91500564642688e-17,-0.797299059600844,0.399,0.741,1.26392042289246e-12,PHPT1
ENSG00000121552,4.32315348830833e-17,-0.745718852141884,0.235,0.6,1.39568687216546e-12,CSTA
ENSG00000231500,6.78739542941077e-17,-0.909214569821489,0.856,0.859,2.19124274043097e-12,RPS18
ENSG00000186184,1.57462288660247e-16,-0.747004331649181,0.533,0.785,5.08351252710741e-12,POLR1D
