,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000198763,5.96984396533782e-229,-1.37267047411479,0.852,0.962,1.92730442576966e-224,MT-ND2
ENSG00000269028,2.70984063889901e-202,2.55538061872811,0.591,0.144,8.74844951862155e-198,MTRNR2L12
ENSG00000105519,1.729350437868e-192,-1.08349453032038,0.929,0.948,5.58303495361306e-188,CAPS
ENSG00000160472,1.13077414932078e-188,-1.64091503848354,0.674,0.854,3.65059126366721e-184,TMEM190
ENSG00000198840,5.71335982239304e-187,-1.22151620185886,0.854,0.969,1.84450108506137e-182,MT-ND3
ENSG00000197943,1.50608653143548e-183,2.02193536982429,0.439,0.044,4.8622497580863e-179,PLCG2
ENSG00000142973,4.60146592188426e-165,-1.28370703049518,0.741,0.839,1.48553725822111e-160,CYP4B1
ENSG00000213741,1.52574876302391e-163,-1.21176893439432,0.699,0.838,4.92572730654638e-159,RPS29
ENSG00000142541,2.96783655220724e-153,-1.08896055054004,0.847,0.863,9.58136352514585e-149,RPL13A
ENSG00000228253,1.24390911343415e-150,1.80426848630069,0.559,0.176,4.01583618181081e-146,MT-ATP8
ENSG00000122026,2.94223625313515e-150,-1.12959004512346,0.826,0.863,9.49871551962151e-146,RPL21
ENSG00000255308,3.07257060123758e-149,1.1855800161439,0.483,0.093,9.91948692903542e-145,CSRP3-AS1
ENSG00000130770,4.99081425456038e-149,-1.09985701377014,0.808,0.868,1.61123447394227e-144,ATP5IF1
ENSG00000159713,2.3179389956358e-145,-1.03961435580539,0.891,0.917,7.48323425351063e-141,TPPP3
ENSG00000169020,3.25390956874096e-143,-1.23886923447629,0.594,0.777,1.05049216517233e-138,ATP5ME
ENSG00000173369,2.55136621179572e-141,-0.970787609586313,0.104,0.422,8.23683067816132e-137,C1QB
ENSG00000183648,2.03609244306295e-134,-1.25151618001058,0.569,0.743,6.57332084318443e-130,NDUFB1
ENSG00000147400,2.38568156911402e-134,-0.930075882633876,0.81,0.873,7.70193437772771e-130,CETN2
ENSG00000161970,3.27465699684886e-134,-0.994683779084681,0.739,0.841,1.05719026486268e-129,RPL26
ENSG00000166441,2.19540782125702e-131,-0.891209385128399,0.748,0.841,7.08765461014616e-127,RPL27A
ENSG00000197756,1.94795355220388e-130,-1.00502510176541,0.834,0.851,6.288773247935e-126,RPL37A
ENSG00000173467,3.36087978433218e-130,-0.954618766519259,0.887,0.893,1.0850264295738e-125,AGR3
ENSG00000137473,2.54832347793145e-128,1.32137386736845,0.73,0.388,8.2270075161539e-124,TTC29
