,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000265972,6.60424657591283e-72,-1.37794680843709,0.619,0.808,2.1321149645677e-67,TXNIP
ENSG00000067113,1.96502064983185e-70,-1.62528361705434,0.446,0.7,6.34387266591715e-66,PLPP1
ENSG00000251562,1.11035773076377e-64,-0.686108511353266,0.997,0.998,3.58467889799775e-60,MALAT1
ENSG00000269028,5.85683991684493e-64,2.69057392108664,0.399,0.041,1.89082219875422e-59,MTRNR2L12
ENSG00000167996,1.48440443334634e-58,-0.657395601481451,0.947,0.907,4.79225127261533e-54,FTH1
ENSG00000065054,1.76658838368438e-58,-1.36902592688167,0.49,0.711,5.70325393788664e-54,SLC9A3R2
ENSG00000124762,4.7934448545492e-58,1.34091527706465,0.531,0.155,1.54751573684266e-53,CDKN1A
ENSG00000124440,1.42991788941633e-57,-1.07382125887599,0.109,0.385,4.61634691419167e-53,HIF3A
ENSG00000228253,3.95715804783222e-57,2.01704419656168,0.35,0.024,1.27752890416215e-52,MT-ATP8
ENSG00000168497,1.76913008786053e-56,-0.891154856659456,0.852,0.888,5.71145957564893e-52,CAVIN2
ENSG00000122644,4.88472460829894e-56,-1.15479849727278,0.664,0.793,1.57698449254323e-51,ARL4A
ENSG00000165732,8.45047804984855e-56,1.04363596455231,0.649,0.265,2.72815233361311e-51,DDX21
ENSG00000198805,9.63510774742563e-54,1.0679180509417,0.408,0.069,3.11059818517889e-49,PNP
ENSG00000175606,1.92975530839073e-53,1.11214414546999,0.536,0.175,6.23002203760865e-49,TMEM70
ENSG00000099998,4.82046406052834e-53,-1.31115020878609,0.278,0.535,1.55623861730097e-48,GGT5
ENSG00000171223,9.10186043484061e-53,1.20355043569505,0.814,0.505,2.93844462278394e-48,JUNB
ENSG00000162981,1.34440476597473e-51,-1.29301574341238,0.181,0.437,4.34027634647283e-47,LRATD1
ENSG00000100234,2.75220883427709e-51,-0.902413432174652,0.784,0.883,8.88523100058015e-47,TIMP3
ENSG00000213741,2.76320851908186e-51,-0.817445354045499,0.82,0.89,8.92074238300389e-47,RPS29
ENSG00000069399,4.31113405895553e-51,0.987574187816993,0.363,0.046,1.3918065195932e-46,BCL3
ENSG00000184557,1.06165170717018e-50,0.988817240620605,0.631,0.267,3.42743637142819e-46,SOCS3
ENSG00000105835,1.09089345993376e-50,1.02350771643738,0.656,0.281,3.52184044605016e-46,NAMPT
ENSG00000122026,1.49516949977283e-50,-0.703813616745126,0.909,0.901,4.82700521306659e-46,RPL21
ENSG00000166741,2.01727402815273e-49,1.11383950043843,0.876,0.733,6.51256747248828e-45,NNMT
ENSG00000179144,6.33047649119801e-49,-1.15998289528553,0.424,0.647,2.04373103041837e-44,GIMAP7
ENSG00000164687,4.87653456356397e-48,1.12686689713397,0.812,0.565,1.57434041850099e-43,FABP5
ENSG00000189129,9.40925247711619e-47,-1.1489245518087,0.318,0.569,3.03768306971219e-42,PLAC9
ENSG00000142541,2.79769912288286e-46,-0.66756627977273,0.916,0.905,9.03209184831504e-42,RPL13A
ENSG00000168906,2.5251221663837e-45,0.773678645476249,0.46,0.126,8.15210440195314e-41,MAT2A
ENSG00000136997,1.83123128932876e-43,0.968026573813273,0.636,0.301,5.91194709446896e-39,MYC
ENSG00000175130,8.38373333701817e-43,0.919419652253183,0.747,0.492,2.70660447052295e-38,MARCKSL1
ENSG00000108691,3.9943862236412e-42,1.67607629197785,0.436,0.134,1.28954764844033e-37,CCL2
ENSG00000196196,7.02302108858223e-41,-1.28582430777576,0.303,0.528,2.26731212823789e-36,HRCT1
ENSG00000158859,9.09867446080538e-41,1.03675605336952,0.247,0.006,2.93741606292641e-36,ADAMTS4
ENSG00000173369,1.50026214441052e-40,-0.610716802460858,0.114,0.339,4.84344630701494e-36,C1QB
ENSG00000162493,1.69365817002318e-40,0.760751147388431,0.765,0.47,5.46780603610284e-36,PDPN
ENSG00000100644,1.78016679459745e-40,0.649244950383456,0.484,0.161,5.74709047967842e-36,HIF1A
ENSG00000132341,2.19019136322332e-40,0.778202519266668,0.764,0.538,7.07081379703018e-36,RAN
ENSG00000170540,1.06976525993274e-39,-1.22440511727578,0.536,0.651,3.45363016516685e-35,ARL6IP1
ENSG00000075624,2.24013648071843e-38,0.684927890536756,0.971,0.852,7.23205661435138e-34,ACTB
ENSG00000212907,2.83116007907768e-38,2.48445787170843,0.577,0.334,9.14011719929439e-34,MT-ND4L
ENSG00000170296,3.94669763169574e-38,0.900594260937888,0.472,0.17,1.27415186341665e-33,GABARAP
ENSG00000048162,4.15726218465763e-38,0.685069977061332,0.36,0.08,1.34213052369487e-33,NOP16
ENSG00000172965,1.278356893184e-37,0.756611204881406,0.616,0.284,4.12704739395522e-33,MIR4435-2HG
ENSG00000138722,1.50758254917792e-37,-0.590819424839787,0.824,0.902,4.86707950176599e-33,MMRN1
ENSG00000102967,1.92233489820887e-37,0.930982230125575,0.417,0.128,6.20606598537752e-33,DHODH
ENSG00000185883,2.16701265215942e-37,0.830771344422236,0.313,0.057,6.99598364623147e-33,ATP6V0C
ENSG00000176046,2.67752046659692e-37,-1.30386255701207,0.456,0.62,8.6441070743615e-33,NUPR1
ENSG00000169230,3.75014387077368e-37,0.807147376306105,0.703,0.453,1.21069644724057e-32,PRELID1
