,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000269028,9.42798877089233e-61,4.25093059561436,0.552,0.034,3.04373189479488e-56,MTRNR2L12
ENSG00000234745,2.09224175780745e-57,-2.29522250555431,0.701,0.842,6.75459329090557e-53,HLA-B
ENSG00000166710,2.04775879413101e-54,-1.43510008067332,0.979,0.924,6.61098449097254e-50,B2M
ENSG00000204525,7.13942504479636e-54,-1.51922654961656,0.811,0.876,2.30489198146206e-49,HLA-C
ENSG00000206503,2.2534476953181e-46,-1.72762293372933,0.749,0.842,7.27503053956497e-42,HLA-A
ENSG00000197943,2.28156835931431e-45,3.09273171608619,0.425,0.011,7.36581529121031e-41,PLCG2
ENSG00000198840,1.54277673226244e-43,1.3322335685077,0.94,0.782,4.98070040243607e-39,MT-ND3
ENSG00000228253,1.20591797224286e-41,1.87490266331447,0.44,0.032,3.89318558158884e-37,MT-ATP8
ENSG00000173369,3.76398588321157e-40,-1.69115052294309,0.089,0.445,1.21516520253602e-35,C1QB
ENSG00000183807,8.47547503342896e-39,-1.57765624101231,0.425,0.711,2.73622235979221e-34,FAM162B
ENSG00000011465,3.86184509376537e-36,-1.19585093999489,0.68,0.853,1.24675807007121e-31,DCN
ENSG00000130203,3.90098809986065e-36,-2.05064360401321,0.338,0.671,1.25939499815901e-31,APOE
ENSG00000212907,4.1264288683287e-35,2.43029419004316,0.6,0.192,1.33217629585124e-30,MT-ND4L
ENSG00000130988,4.08361144283884e-34,-1.49149847014561,0.379,0.658,1.31835311820609e-29,RGN
ENSG00000171858,1.04430140260181e-33,1.1033589133302,0.74,0.324,3.37142264815968e-29,RPS21
ENSG00000108679,1.32561745550943e-33,-1.34491028287247,0.468,0.718,4.27962339336665e-29,LGALS3BP
ENSG00000241343,1.96522111792451e-33,1.09324481648416,0.703,0.25,6.34451985710749e-29,RPL36A
ENSG00000149021,2.83067508426483e-31,2.11383951536009,0.626,0.226,9.13855144204057e-27,SCGB1A1
ENSG00000198786,4.53703456618465e-31,1.4386456825635,0.763,0.503,1.46473623934705e-26,MT-ND5
ENSG00000198695,1.2107334290419e-30,1.20794166101178,0.397,0.053,3.90873180231887e-26,MT-ND6
ENSG00000106484,1.68671992833301e-30,-1.57978132533414,0.253,0.566,5.4454066166303e-26,MEST
ENSG00000173372,5.75922698183474e-30,-1.45387416281579,0.101,0.395,1.85930883881553e-25,C1QA
ENSG00000149131,1.12328352913487e-29,-1.01924768493573,0.76,0.85,3.62640854545901e-25,SERPING1
ENSG00000141753,1.32489998617576e-29,1.43350923383554,0.342,0.029,4.27730711536982e-25,IGFBP4
ENSG00000161055,3.27316779269202e-29,1.58785489319648,0.578,0.203,1.05670949019269e-24,SCGB3A1
ENSG00000105894,4.55504607143926e-29,-1.08389012800418,0.479,0.761,1.47055107370345e-24,PTN
ENSG00000240583,3.20665962164623e-28,-1.59182529311076,0.119,0.405,1.03523799225227e-23,AQP1
ENSG00000131055,5.75777761839525e-28,-0.9404072823575,0.746,0.866,1.85884092632272e-23,COX4I2
ENSG00000211592,5.84489645268176e-28,1.25725356824316,0.286,0.008,1.88696637078378e-23,IGKC
ENSG00000255823,1.78305339272014e-27,1.04807110036446,0.306,0.018,5.75640957305769e-23,MTRNR2L8
ENSG00000115652,9.20306770670339e-27,-1.42745217270785,0.247,0.513,2.97111837843212e-22,UXS1
ENSG00000189129,1.09790300343737e-26,1.212131552069,0.698,0.337,3.5444700562972e-22,PLAC9
ENSG00000111341,2.38721838671344e-26,1.44035639435268,0.671,0.329,7.70689583966568e-22,MGP
ENSG00000101439,1.44079874118301e-25,-0.827692018300554,0.831,0.897,4.65147465603522e-21,CST3
ENSG00000170296,2.36011237371296e-25,0.937779000562455,0.47,0.121,7.61938678729492e-21,GABARAP
ENSG00000113721,2.46115149220344e-25,-0.87476191905083,0.762,0.889,7.94558147742958e-21,PDGFRB
ENSG00000115053,3.2248511882338e-25,0.925671468535198,0.527,0.161,1.0411109576094e-20,NCL
ENSG00000204287,8.02760885061819e-25,-1.1726171335539,0.301,0.568,2.59163324133358e-20,HLA-DRA
ENSG00000076641,1.10006864364966e-24,-0.790477331109721,0.553,0.774,3.55146160915857e-20,PAG1
ENSG00000164265,1.1216887175729e-24,2.40774848837205,0.367,0.076,3.62125985581234e-20,SCGB3A2
ENSG00000205364,3.16106367272232e-24,1.15803471866003,0.541,0.195,1.02051779610167e-19,MT1M
ENSG00000087086,8.10424471355381e-24,-0.66244548021098,0.947,0.924,2.61637436332371e-19,FTL
ENSG00000117318,1.82729907394581e-23,-1.71040907272641,0.536,0.684,5.89925233032664e-19,ID3
ENSG00000103241,2.0166528281454e-23,-1.4561021649074,0.199,0.453,6.51056199038461e-19,FOXF1
ENSG00000109472,2.36486485226357e-23,1.20695081387319,0.452,0.137,7.6347296890477e-19,CPE
ENSG00000068697,4.07780836889631e-23,-0.794122107659266,0.778,0.845,1.31647965381449e-18,LAPTM4A
ENSG00000166741,4.57034243660305e-23,1.55242298934823,0.326,0.055,1.47548935223293e-18,NNMT
ENSG00000184347,9.3200128389797e-23,0.938153877667836,0.418,0.105,3.00887294493621e-18,SLIT3
ENSG00000182985,1.00855205532959e-22,-1.17151545744639,0.278,0.547,3.25600945542606e-18,CADM1
ENSG00000030582,1.78166846368178e-22,-1.18136567225389,0.429,0.613,5.75193846815027e-18,GRN
ENSG00000096060,1.93347368149579e-22,1.16662801799879,0.546,0.213,6.24202643334099e-18,FKBP5
ENSG00000211445,1.93575470733692e-22,-0.649476517743839,0.868,0.916,6.24939049716653e-18,GPX3
ENSG00000065911,1.98024625403759e-22,1.17215972009902,0.335,0.058,6.39302700653497e-18,MTHFD2
ENSG00000183087,2.60534088334104e-22,-1.14722847980957,0.552,0.697,8.41108250777822e-18,GAS6
ENSG00000182774,3.87633799846062e-22,0.656262676185419,0.667,0.287,1.25143695942303e-17,RPS17
ENSG00000125148,5.41178147054849e-22,1.05006528314564,0.927,0.774,1.74713952995188e-17,MT2A
ENSG00000198918,6.4624368564002e-22,0.831954596110158,0.865,0.695,2.08633311472024e-17,RPL39
ENSG00000131097,1.721205215646e-21,-0.7956507909408,0.66,0.829,5.55673891819155e-17,HIGD1B
ENSG00000233927,1.75354728298101e-21,0.748467813624577,0.897,0.729,5.66115204837591e-17,RPS28
ENSG00000124762,1.89345059635772e-21,1.0493931557437,0.391,0.097,6.11281590528128e-17,CDKN1A
ENSG00000130255,1.97496488110352e-21,0.788494852270639,0.845,0.574,6.37597662215459e-17,RPL36
ENSG00000130208,2.19869829947758e-21,-1.42237322965923,0.107,0.339,7.09827759003343e-17,APOC1
ENSG00000177954,3.12783914437667e-21,0.816197165899323,0.936,0.863,1.00979158937057e-16,RPS27
ENSG00000198938,6.49189135916785e-21,0.893255101260892,0.973,0.911,2.09584220639375e-16,MT-CO3
ENSG00000156976,2.51229122570119e-20,-1.01614530367906,0.541,0.676,8.11068099305373e-16,EIF4A2
ENSG00000163032,2.92674968685339e-20,-1.18650712737532,0.112,0.334,9.44871868903747e-16,VSNL1
ENSG00000197956,5.21584548082635e-20,1.24939853690092,0.733,0.416,1.68388355502998e-15,S100A6
ENSG00000105835,5.87648166292469e-20,0.759793812297692,0.459,0.147,1.89716334005861e-15,NAMPT
ENSG00000150347,7.00188230605853e-20,1.03647828840961,0.649,0.313,2.26048768368793e-15,ARID5B
ENSG00000090006,8.49477319625087e-20,0.799866507712136,0.367,0.087,2.74245257867763e-15,LTBP4
ENSG00000229117,1.11939379164048e-19,0.772890418763981,0.947,0.876,3.61385091693211e-15,RPL41
ENSG00000172201,1.21587268959095e-19,1.22894162322578,0.297,0.053,3.92532339107541e-15,ID4
ENSG00000198712,1.66064676098106e-19,0.948129442579725,0.957,0.911,5.36123200315125e-15,MT-CO2
ENSG00000163513,2.05403001435735e-19,0.656841863298009,0.31,0.055,6.63123049835127e-15,TGFBR2
ENSG00000170345,2.49942469342059e-19,-1.08408338204011,0.512,0.687,8.06914268023903e-15,FOS
ENSG00000010278,2.77555562028358e-19,1.40051203325045,0.281,0.047,8.96060376452352e-15,CD9
ENSG00000187514,4.20698057251474e-19,0.986399685974273,0.94,0.853,1.35818160803066e-14,PTMA
ENSG00000243678,2.29867171145717e-18,0.728266298319069,0.349,0.087,7.42103175326831e-14,NME2
ENSG00000135916,2.34861915198116e-18,-1.01434324347812,0.544,0.682,7.58228207025599e-14,ITM2C
ENSG00000265491,2.79067866031493e-18,0.689002564485603,0.406,0.118,9.00942698696072e-14,RNF115
ENSG00000205362,2.86711071942222e-18,1.42667070278081,0.267,0.045,9.25618024658268e-14,MT1A
ENSG00000182534,4.16474145084622e-18,0.723710984059118,0.308,0.063,1.34454512999119e-13,MXRA7
ENSG00000115380,6.58333234440911e-18,-1.3586043111854,0.352,0.537,2.12536301406904e-13,EFEMP1
ENSG00000254772,1.05487265466508e-17,0.736030459678309,0.352,0.089,3.40555087832076e-13,EEF1G
ENSG00000169439,2.09634791633034e-17,-1.10780488291343,0.552,0.655,6.76784961308087e-13,SDC2
ENSG00000100644,2.62784227028282e-17,0.822802530781765,0.456,0.163,8.48372598538105e-13,HIF1A
ENSG00000198899,4.25089438033458e-17,1.13816599351075,0.954,0.908,1.37235874174722e-12,MT-ATP6
ENSG00000184584,5.62883210788161e-17,-1.19488927388587,0.258,0.455,1.8172121577085e-12,TMEM173
ENSG00000166482,5.86461129516141e-17,1.53987600047149,0.226,0.029,1.89333111052991e-12,MFAP4
ENSG00000035862,9.21052378354665e-17,0.604759042737147,0.415,0.134,2.9735254982802e-12,TIMP2
ENSG00000265681,9.35058903742079e-17,0.83991138220891,0.564,0.268,3.01874416484093e-12,RPL17
ENSG00000114391,9.51882466679433e-17,0.710406718382196,0.854,0.674,3.07305735542788e-12,RPL24
ENSG00000183722,1.16679004297902e-16,-0.697255297310102,0.778,0.805,3.76686497475345e-12,LHFPL6
ENSG00000185883,1.4628260398136e-16,0.588657767157526,0.295,0.063,4.72258758693424e-12,ATP6V0C
ENSG00000073921,1.48860334145335e-16,0.812833660465723,0.399,0.129,4.80580702754798e-12,PICALM
ENSG00000172270,1.56875923863158e-16,-0.923740023796961,0.596,0.676,5.06458232599818e-12,BSG
ENSG00000131016,2.02375512831477e-16,0.595870015311934,0.388,0.118,6.53349105625142e-12,AKAP12
ENSG00000116016,2.59681571349272e-16,0.669178755585567,0.76,0.455,8.38355984943991e-12,EPAS1
ENSG00000189043,2.91353693502332e-16,0.9647240109883,0.356,0.111,9.40606264102927e-12,NDUFA4
ENSG00000060237,3.06313502099739e-16,0.597753594872254,0.281,0.058,9.88902510178798e-12,WNK1
ENSG00000145592,4.8211424685553e-16,0.611521685664131,0.84,0.613,1.55645763454839e-11,RPL37
ENSG00000165732,1.28587012230076e-15,0.833401117521407,0.372,0.118,4.15130310283578e-11,DDX21
ENSG00000184009,1.29347103659278e-15,-0.644669470473505,0.804,0.811,4.17584189453613e-11,ACTG1
ENSG00000139329,2.25690762549574e-15,-1.15281740333844,0.142,0.347,7.28620057815045e-11,LUM
ENSG00000110651,3.26576436243005e-15,1.00663107082109,0.548,0.295,1.05431936676692e-10,CD81
ENSG00000115738,4.08840719658568e-15,0.841389797839845,0.19,0.018,1.31990137934572e-10,ID2
