,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000087086,3.89626911712412e-216,-1.08908544045776,0.881,0.996,1.25787152177235e-211,FTL
ENSG00000130208,6.18921644157906e-180,-1.27895575775569,0.19,0.65,1.99812663599938e-175,APOC1
ENSG00000173369,4.60306652320734e-161,-1.00241923056147,0.108,0.52,1.48605399635226e-156,C1QB
ENSG00000164687,1.48484338333251e-149,-1.59861977501217,0.517,0.846,4.79366837875068e-145,FABP5
ENSG00000105372,1.92262323817507e-143,-0.837506520462302,0.841,0.998,6.20699686212441e-139,RPS19
ENSG00000213741,1.46599403131467e-139,-0.913769880127285,0.792,0.994,4.73281513069627e-135,RPS29
ENSG00000197728,1.97323428133211e-137,-1.01137603763793,0.733,0.933,6.37038955385259e-133,RPS26
ENSG00000173372,5.89864438637497e-137,-0.931148406606984,0.133,0.516,1.90431835369729e-132,C1QA
ENSG00000142541,1.77743837714376e-123,-0.820184993803148,0.868,0.997,5.73828205677092e-119,RPL13A
ENSG00000122026,3.28008080248346e-120,-0.811977535981923,0.833,0.995,1.05894128627376e-115,RPL21
ENSG00000125691,1.01685679957182e-117,-0.751978577310327,0.804,0.974,3.28282049173766e-113,RPL23
ENSG00000170323,1.52690507636356e-117,-0.941046548646759,0.119,0.462,4.9294603485321e-113,FABP4
ENSG00000231500,1.05613354396167e-106,-0.689164796466495,0.853,0.996,3.40962153332585e-102,RPS18
ENSG00000109475,7.30180427525743e-105,-0.719039363623104,0.839,0.999,2.35731449222411e-100,RPL34
ENSG00000167996,9.80485940923319e-101,-0.675651223196102,0.85,0.998,3.16540081167684e-96,FTH1
ENSG00000137154,2.70111694181264e-98,-0.672637104905778,0.847,0.994,8.72028593494794e-94,RPS6
ENSG00000177954,1.79952644209251e-95,-0.722379848841038,0.828,0.995,5.80959116565146e-91,RPS27
ENSG00000166710,4.86243601788892e-92,-0.851122817332477,0.876,0.989,1.56978884401526e-87,B2M
ENSG00000069020,1.36088731978327e-90,2.48509741630022,0.594,0.276,4.3934886231883e-86,MAST4
ENSG00000130203,5.12047862462803e-90,-0.835595847719653,0.104,0.383,1.65309531917491e-85,APOE
ENSG00000008988,9.92482062158519e-90,-0.676351164291228,0.803,0.993,3.20412908947256e-85,RPS20
ENSG00000204287,2.62834212583382e-88,-0.800690834001162,0.675,0.893,8.48533971904191e-84,HLA-DRA
ENSG00000250722,6.31530759189393e-88,-0.948630329985946,0.472,0.726,2.03883390296703e-83,SELENOP
ENSG00000142534,1.85330468891008e-87,-0.613851953130614,0.824,0.976,5.98320885767729e-83,RPS11
ENSG00000166441,1.99333137224515e-86,-0.68547115903194,0.83,0.993,6.43527100215626e-82,RPL27A
ENSG00000089356,2.091562821886e-86,-0.823311101710398,0.609,0.845,6.75240141417677e-82,FXYD3
ENSG00000124107,2.71775787065222e-86,-0.970005596640572,0.871,0.991,8.77400950961363e-82,SLPI
ENSG00000182774,2.10341606324333e-83,-0.973493886751434,0.773,0.917,6.79066841857478e-79,RPS17
ENSG00000147604,2.58605265915148e-83,-0.668768654086752,0.813,0.987,8.34881240480462e-79,RPL7
ENSG00000166833,6.57202395353034e-81,1.62903103643673,0.443,0.138,2.12171221315774e-76,NAV2
ENSG00000197756,6.9113514755221e-81,-0.643231849036517,0.835,0.994,2.23126071035756e-76,RPL37A
ENSG00000103534,3.05355480771966e-80,1.25139977017405,0.678,0.386,9.85809634124213e-76,TMC5
ENSG00000010278,4.00565829756481e-80,-0.716879121322789,0.797,0.926,1.29318672478582e-75,CD9
