,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000269028,1.5332712573876e-110,3.85518237527254,0.558,0.054,4.95001292735013e-106,MTRNR2L12
ENSG00000173369,2.39362503096479e-98,-1.17301131329265,0.092,0.485,7.72757904996674e-94,C1QB
ENSG00000173372,8.87135055982842e-89,-1.10826965877995,0.102,0.471,2.86402681473501e-84,C1QA
ENSG00000107796,2.88944143931887e-87,-1.02520700749987,0.972,0.979,9.32827274269705e-83,ACTA2
ENSG00000228253,4.0349737513616e-85,2.1026507906778,0.474,0.039,1.30265092588958e-80,MT-ATP8
ENSG00000197943,4.13229051981448e-80,3.11041618383559,0.413,0.008,1.33406867141691e-75,PLCG2
ENSG00000101439,5.79011635424116e-69,-0.916397553726173,0.867,0.92,1.86928116380322e-64,CST3
ENSG00000130208,1.71444905082224e-66,-1.20098917479442,0.129,0.452,5.53492731567451e-62,APOC1
ENSG00000149591,2.65737799279887e-64,-0.761084935496746,0.979,0.968,8.57907911195186e-60,TAGLN
ENSG00000170296,4.83600928105807e-63,1.09909510117773,0.6,0.183,1.56125723629679e-58,GABARAP
ENSG00000198840,2.55543827674009e-61,1.19039796265256,0.96,0.923,8.24997693262772e-57,MT-ND3
ENSG00000198938,2.64488949518646e-58,0.964423419207774,0.973,0.941,8.53876124625998e-54,MT-CO3
ENSG00000204287,6.04185894766694e-57,-0.679216889758429,0.309,0.628,1.9505537426648e-52,HLA-DRA
ENSG00000075624,2.6177784503298e-56,-0.673116616364661,0.987,0.952,8.45123594904472e-52,ACTB
ENSG00000212907,1.31147935518359e-53,2.12854369397458,0.671,0.425,4.2339799502747e-49,MT-ND4L
ENSG00000103196,2.51637897482547e-52,1.14985574593086,0.701,0.362,8.12387788232654e-48,CRISPLD2
ENSG00000106211,6.26076218834415e-52,-0.789911410978195,0.923,0.941,2.02122446488502e-47,HSPB1
ENSG00000198467,6.98109935156821e-52,-0.745089199437832,0.963,0.982,2.25377811466028e-47,TPM2
ENSG00000139289,7.63906889494834e-52,1.46814145137556,0.441,0.12,2.46619700204512e-47,PHLDA1
ENSG00000198899,8.12921309342464e-51,1.33817255785754,0.965,0.929,2.62443515508121e-46,MT-ATP6
ENSG00000163017,2.36932619498594e-50,-1.20821669878807,0.674,0.815,7.64913268789262e-46,ACTG2
ENSG00000211592,6.96554630350905e-50,0.937365590170206,0.317,0.023,2.24875696862486e-45,IGKC
ENSG00000167641,2.14344074443818e-48,-0.784190416381149,0.862,0.931,6.91988409934422e-44,PPP1R14A
ENSG00000255823,2.57423481567235e-48,0.833552904532922,0.349,0.047,8.31065967891663e-44,MTRNR2L8
ENSG00000221869,1.18842194961445e-47,0.966968969561111,0.859,0.62,3.83670142213528e-43,CEBPD
ENSG00000105835,5.70478528734646e-47,1.15976763858019,0.567,0.231,1.84173288216693e-42,NAMPT
ENSG00000265681,1.01149440707854e-46,1.15693305405167,0.738,0.477,3.26550854381235e-42,RPL17
