,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000133110,1.49467270849551e-132,-2.52114944260395,0.233,0.737,4.82540137210689e-128,POSTN
ENSG00000152583,7.65015948999806e-123,-1.25881129770243,0.966,1,2.46977748975097e-118,SPARCL1
ENSG00000107438,1.41200022753053e-106,1.31664790297761,0.958,0.857,4.55850153455957e-102,PDLIM1
ENSG00000087086,4.80939341197735e-101,-1.02634935501477,0.966,0.994,1.55266456912277e-96,FTL
ENSG00000173369,1.20831691432779e-91,-1.14690311151497,0.078,0.454,3.90093032621584e-87,C1QB
ENSG00000167996,3.00484757436205e-90,-0.868161142714418,0.968,0.994,9.70084990907046e-86,FTH1
ENSG00000123416,4.45934659960681e-84,1.08957151892163,0.932,0.827,1.43965545621706e-79,TUBA1B
ENSG00000265972,6.36040281732591e-76,-1.1043901290051,0.652,0.904,2.0533924455455e-71,TXNIP
ENSG00000065911,2.76957026381359e-75,1.51958623456612,0.603,0.143,8.94128063969578e-71,MTHFD2
ENSG00000148180,5.63416739816941e-75,-1.29523356600889,0.746,0.922,1.81893460282501e-70,GSN
ENSG00000164265,1.26629493079833e-74,1.84221910759019,0.747,0.305,4.08810655458934e-70,SCGB3A2
ENSG00000198502,1.31180908433276e-74,1.14575642737223,0.758,0.247,4.2350444478599e-70,HLA-DRB5
ENSG00000130208,4.89778517006766e-73,-1.04325251556801,0.102,0.448,1.58120096430464e-68,APOC1
ENSG00000173372,2.3372371851902e-67,-0.963807087322308,0.107,0.438,7.54553652866803e-63,C1QA
ENSG00000100234,1.00687582889471e-66,-1.0928535126827,0.453,0.797,3.25059792600369e-62,TIMP3
ENSG00000130203,1.55352824926616e-65,-0.945658703259947,0.049,0.319,5.01541059993088e-61,APOE
ENSG00000100644,4.16799480989279e-64,1.21102081985807,0.746,0.384,1.34559544442579e-59,HIF1A
ENSG00000176014,1.10026185421954e-62,1.14156705389312,0.744,0.424,3.55208537016237e-58,TUBB6
ENSG00000197747,2.52678686172494e-61,-0.944452411435017,0.847,0.948,8.15747870439279e-57,S100A10
ENSG00000149021,9.71946618651292e-61,1.3547141974072,0.874,0.61,3.13783246365383e-56,SCGB1A1
ENSG00000109971,1.45954816758857e-59,0.957013887555086,0.893,0.761,4.71200530424294e-55,HSPA8
ENSG00000198805,6.15807457196466e-59,1.07876278343515,0.624,0.233,1.98807279481307e-54,PNP
ENSG00000115541,9.04654909584275e-59,1.00620725056115,0.81,0.562,2.92058791010187e-54,HSPE1
ENSG00000113594,2.38546332855308e-57,-0.715716413957828,0.383,0.729,7.70122980990075e-53,LIFR
ENSG00000189067,5.7335111248128e-57,1.38879782543812,0.677,0.347,1.85100673153456e-52,LITAF
ENSG00000181163,7.97569488401633e-55,0.762292713011206,0.92,0.869,2.57487333635583e-50,NPM1
ENSG00000132963,8.69690067014568e-55,0.836457142712002,0.906,0.789,2.80770741234983e-50,POMP
ENSG00000161960,1.17367934766921e-52,0.89199589307005,0.906,0.755,3.78910640601528e-48,EIF4A1
ENSG00000165732,1.97885906317084e-52,0.914034993428539,0.813,0.548,6.38854859954074e-48,DDX21
ENSG00000109332,3.56903502016166e-52,0.777397100639999,0.896,0.729,1.15222726590899e-47,UBE2D3
ENSG00000188313,1.70053040770293e-51,0.902351572045261,0.796,0.544,5.48999236822813e-47,PLSCR1
ENSG00000074590,5.806402456227e-51,-0.942039190766436,0.279,0.6,1.87453896896832e-46,NUAK1
ENSG00000088832,2.43883040114364e-50,0.683121156708353,0.952,0.914,7.87352006705211e-46,FKBP1A
ENSG00000197728,5.08528392196779e-50,-0.93618443443928,0.919,0.924,1.64173306136808e-45,RPS26
ENSG00000125148,2.36091811575753e-49,1.32504881511925,0.935,0.817,7.6219880449116e-45,MT2A
ENSG00000065054,4.67197597072564e-49,-1.22725800781387,0.382,0.687,1.50830072238907e-44,SLC9A3R2
ENSG00000168497,1.99666116967918e-48,-0.954376602741775,0.381,0.681,6.44602092019226e-44,CAVIN2
ENSG00000167088,3.25622299865395e-48,0.904012327643601,0.784,0.562,1.05123903288544e-43,SNRPD1
ENSG00000163565,3.65769060071825e-48,0.8011211923788,0.91,0.781,1.18084883353588e-43,IFI16
ENSG00000048162,6.7483624909758e-48,0.881686921723585,0.539,0.179,2.17864134658663e-43,NOP16
ENSG00000163638,1.01318415956421e-47,1.29751714841673,0.789,0.474,3.2709637407371e-43,ADAMTS9
ENSG00000125977,1.63800059275213e-47,0.863657369627314,0.829,0.624,5.28812111364096e-43,EIF2S2
ENSG00000161055,5.90062327664523e-47,1.19573828143671,0.834,0.612,1.90495721863215e-42,SCGB3A1
ENSG00000211445,6.02732037153959e-47,-1.44859122455538,0.272,0.576,1.94586010874784e-42,GPX3
ENSG00000105835,5.05066702143851e-46,1.110285418854,0.814,0.576,1.63055734120121e-41,NAMPT
ENSG00000143256,2.51485753427495e-45,0.882749306323587,0.771,0.54,8.11896606365325e-41,PFDN2
ENSG00000170323,6.87007307429852e-45,-1.39220592873532,0.136,0.414,2.21793439130653e-40,FABP4
ENSG00000149573,3.25872402840822e-43,0.957596702521634,0.747,0.508,1.05204646533131e-38,MPZL2
ENSG00000154582,3.36395924863137e-43,0.905658234144257,0.802,0.616,1.08602060382815e-38,ELOC
ENSG00000151789,3.4933996012461e-43,1.07755915204882,0.745,0.488,1.12780912726629e-38,ZNF385D
ENSG00000119705,8.22598300583387e-43,0.856972669517476,0.793,0.57,2.6556763536034e-38,SLIRP
ENSG00000023902,4.82640965675976e-42,0.957421939078632,0.496,0.175,1.55815809358832e-37,PLEKHO1
ENSG00000276409,6.09391102047198e-41,-1.90491871778172,0.384,0.631,1.96735823384918e-36,CCL14
ENSG00000143977,6.93459550744716e-41,0.762921886589534,0.816,0.643,2.23876481362424e-36,SNRPG
ENSG00000105974,1.26778149965993e-40,-0.998126838174668,0.747,0.865,4.09290579350213e-36,CAV1
ENSG00000267206,1.97082547308368e-40,-1.26741442599077,0.275,0.54,6.36261295730335e-36,LCN6
ENSG00000074800,2.40835084898671e-40,0.856581332535908,0.857,0.753,7.7751198808687e-36,ENO1
ENSG00000089048,2.4678400274542e-39,0.779368339230806,0.578,0.253,7.96717474463313e-35,ESF1
ENSG00000132341,6.84741941670246e-39,0.747454277368272,0.825,0.715,2.21062088448822e-34,RAN
ENSG00000245532,2.44066342988783e-38,-0.828868809054621,0.873,0.944,7.87943781704986e-34,NEAT1
ENSG00000100711,4.87830067836985e-38,-0.786779661336554,0.266,0.528,1.57491059100492e-33,ZFYVE21
ENSG00000130202,6.5114063280545e-38,0.750401418222422,0.744,0.488,2.10214241894912e-33,NECTIN2
ENSG00000116649,8.95993037511558e-38,0.856957982530421,0.594,0.323,2.89262392230231e-33,SRM
ENSG00000113739,1.42796731924749e-37,0.851853284650383,0.393,0.094,4.6100496934586e-33,STC2
ENSG00000115946,3.13133906444709e-37,0.747125278103941,0.426,0.122,1.0109215035661e-32,PNO1
ENSG00000171236,1.25720231278994e-36,1.39781872495589,0.449,0.143,4.05875194661103e-32,LRG1
ENSG00000265241,3.84342188208952e-36,0.670815037886843,0.812,0.616,1.24081032041378e-31,RBM8A
ENSG00000132507,3.99308432632349e-36,0.741813812574031,0.763,0.548,1.28912734391027e-31,EIF5A
ENSG00000179431,8.88200773305401e-36,1.00416620723646,0.419,0.127,2.86746737653916e-31,FJX1
ENSG00000166226,1.40744470844061e-35,0.719740705222336,0.647,0.38,4.54379449672965e-31,CCT2
ENSG00000163938,2.74632243248281e-35,0.739007748768614,0.567,0.269,8.86622734102751e-31,GNL3
ENSG00000161547,5.12228924545753e-35,0.749838693805566,0.758,0.54,1.65367986000351e-30,SRSF2
ENSG00000138722,6.42792462740558e-35,-1.45740380099565,0.158,0.388,2.07519118671162e-30,MMRN1
ENSG00000124831,9.31335185934361e-35,-0.705938958844124,0.491,0.719,3.00672251427049e-30,LRRFIP1
ENSG00000162407,2.01449571632345e-34,1.04981297113108,0.59,0.301,6.50359797057863e-30,PLPP3
ENSG00000239672,2.3858084228046e-34,0.857489919551706,0.602,0.351,7.70234391218236e-30,NME1
ENSG00000166979,3.36243821577566e-34,0.764287706377243,0.674,0.428,1.08552955358101e-29,EVA1C
ENSG00000072163,7.6565878040546e-34,-0.728351918820454,0.224,0.482,2.47185280666099e-29,LIMS2
ENSG00000166741,9.29105329996987e-34,0.709592746996162,0.915,0.847,2.99952364736227e-29,NNMT
ENSG00000102265,1.50789222565354e-33,1.96991751900471,0.901,0.843,4.86807926129989e-29,TIMP1
ENSG00000154217,4.48314767039475e-33,1.33655764619596,0.534,0.263,1.44733939391024e-28,PITPNC1
ENSG00000179144,9.13366897228013e-33,-0.776379652381274,0.661,0.837,2.94871369101092e-28,GIMAP7
ENSG00000183696,1.97760604364819e-32,0.925302937610962,0.607,0.353,6.38450335131383e-28,UPP1
ENSG00000117395,2.83504582347815e-32,0.684132442465984,0.506,0.225,9.15266193651686e-28,EBNA1BP2
ENSG00000134531,6.51185180892833e-32,0.674500786467823,0.877,0.709,2.10228623799442e-27,EMP1
