,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000130208,9.03554006698306e-108,-1.64528552459231,0.159,0.776,2.91703375522481e-103,APOC1
ENSG00000173369,3.02466346232268e-100,-1.15962772474837,0.132,0.739,9.76482352176255e-96,C1QB
ENSG00000173372,6.71382613686612e-88,-1.02836314337225,0.132,0.68,2.16749163002586e-83,C1QA
ENSG00000130203,1.55090699380605e-67,-1.00987849467059,0.094,0.534,5.00694813880344e-63,APOE
ENSG00000087086,3.20826079873798e-63,-1.08572104802705,0.959,0.963,1.03575491626457e-58,FTL
ENSG00000170323,7.27026578939643e-63,-0.855243346908736,0.167,0.615,2.34713260744874e-58,FABP4
ENSG00000169442,1.18851435495474e-51,-0.797164776542386,0.104,0.485,3.83699974353589e-47,CD52
ENSG00000196154,1.27011001366231e-50,-1.19517002334787,0.377,0.751,4.10042316810741e-46,S100A4
ENSG00000114315,1.37182917153683e-49,-1.45388238987601,0.54,0.827,4.42881329738951e-45,HES1
ENSG00000158869,2.90537880495254e-43,-0.62897932719672,0.086,0.415,9.37972493390877e-39,FCER1G
ENSG00000011600,1.47938913656467e-41,-0.639787964185766,0.114,0.454,4.77605988848538e-37,TYROBP
ENSG00000204287,3.2470965870704e-40,-0.797906601738366,0.788,0.929,1.04829266216981e-35,HLA-DRA
ENSG00000105372,8.90575208976943e-39,-0.675350323795215,0.907,0.956,2.87513300466116e-34,RPS19
ENSG00000137673,1.66796432331935e-38,-1.42778310401897,0.324,0.641,5.38485602140418e-34,MMP7
ENSG00000167653,1.47605517818199e-37,-1.16120494792863,0.139,0.451,4.76529653724274e-33,PSCA
ENSG00000198502,2.35407102868906e-37,0.790323174291904,0.527,0.132,7.59988290901975e-33,HLA-DRB5
ENSG00000213741,2.92634121014678e-32,-0.612704863197497,0.875,0.959,9.44739996283786e-28,RPS29
ENSG00000269028,5.03194252173479e-32,2.80438296311255,0.379,0.073,1.62451232371686e-27,MTRNR2L12
ENSG00000171345,1.70300577956867e-31,-0.835337653833775,0.888,0.956,5.49798385875948e-27,KRT19
ENSG00000197728,2.04857961344292e-31,-0.635474778928872,0.864,0.924,6.61363442403911e-27,RPS26
ENSG00000164687,2.06777295263864e-30,-1.31845977513824,0.485,0.739,6.67559820029857e-26,FABP5
ENSG00000196352,2.51779130844564e-30,0.915908393626529,0.932,0.798,8.1284374601859e-26,CD55
ENSG00000163739,1.80035102388764e-29,1.39264193337572,0.802,0.641,5.81225324551887e-25,CXCL1
ENSG00000176046,1.75663043739274e-28,-0.771286315963773,0.562,0.78,5.67110570407873e-24,NUPR1
ENSG00000160752,1.73677416635742e-27,-0.751619359809528,0.495,0.7,5.60700171866829e-23,FDPS
ENSG00000244067,3.22590818604501e-27,0.696881922228955,0.482,0.166,1.04145219878277e-22,GSTA2
ENSG00000196126,1.311473529598e-26,-0.682968017451726,0.734,0.898,4.2339611429542e-22,HLA-DRB1
ENSG00000228253,1.6010854715865e-26,1.75160419704554,0.348,0.078,5.16894433646984e-22,MT-ATP8
ENSG00000205542,2.65738104240292e-24,-0.640458840564375,0.915,0.956,8.57908895729359e-20,TMSB4X
ENSG00000184009,7.17827892156701e-24,0.728793733773065,0.901,0.898,2.31743556703869e-19,ACTG1
ENSG00000117984,1.98542336139848e-22,-0.594298483075723,0.685,0.829,6.40974077993886e-18,CTSD
ENSG00000109971,3.23605869816006e-22,0.692776603569608,0.756,0.612,1.04472919011399e-17,HSPA8
ENSG00000182774,1.4826536019457e-21,-0.754731773896948,0.846,0.902,4.7865988885215e-17,RPS17
ENSG00000075624,4.702905658577e-19,0.678243661949795,0.918,0.937,1.518286062815e-14,ACTB
ENSG00000113448,8.21858007668097e-19,1.51364740791607,0.4,0.156,2.65328639195568e-14,PDE4D
ENSG00000080493,1.70272055099254e-18,1.39908399627218,0.665,0.437,5.49706302682431e-14,SLC4A4
ENSG00000198900,4.9587302460737e-18,0.617804825056352,0.671,0.456,1.60087647264243e-13,TOP1
ENSG00000166741,2.66503083073042e-17,0.688481775841105,0.433,0.2,8.60378553393007e-13,NNMT
ENSG00000093167,4.54092927612397e-17,0.792551993357544,0.432,0.207,1.46599360750386e-12,LRRFIP2
ENSG00000197943,1.32442342630103e-16,1.70655312150645,0.198,0.027,4.27576858947024e-12,PLCG2
ENSG00000174501,1.74421475774494e-16,0.96725442616798,0.487,0.244,5.63102292390377e-12,ANKRD36C
ENSG00000273149,7.89229409521576e-16,0.664824962663897,0.144,0,2.54794822569946e-11,AL138963.4
