,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000274736,2.4262445645184e-254,-3.92349698598179,0.16,0.795,7.83288795209119e-250,CCL23
ENSG00000152583,7.28946234650514e-192,-2.33442216685549,0.553,0.92,2.35333002394572e-187,SPARCL1
ENSG00000211445,4.46397500368523e-166,-1.40395406657177,0.752,0.937,1.44114969018974e-161,GPX3
ENSG00000112936,1.13276622161034e-163,-1.95993960940674,0.339,0.808,3.65702246984683e-159,C7
ENSG00000107438,3.75205749084443e-153,1.43092541703348,0.921,0.725,1.21131424034422e-148,PDLIM1
ENSG00000100234,1.3978233742723e-142,-1.17873325814933,0.851,0.982,4.51273298150069e-138,TIMP3
ENSG00000087086,2.12021792838549e-140,-0.906866220218684,0.915,0.962,6.8449115599997e-136,FTL
ENSG00000165507,6.77753094882061e-135,1.67485318562491,0.862,0.495,2.18805809151725e-130,DEPP1
ENSG00000143248,1.17744828972677e-119,1.42217595477365,0.846,0.558,3.80127405855389e-115,RGS5
ENSG00000148180,5.53078240996749e-117,-1.2602265374746,0.752,0.921,1.7855577932339e-112,GSN
ENSG00000162692,5.58278004055031e-115,2.46285210989211,0.592,0.198,1.80234470829126e-110,VCAM1
ENSG00000198502,7.86374316551558e-106,1.30025839959008,0.447,0.064,2.53873084355505e-101,HLA-DRB5
ENSG00000166741,2.96980883308255e-104,1.3482279938471,0.915,0.868,9.58773083672371e-100,NNMT
ENSG00000173369,8.6334217512714e-103,-1.18045281731849,0.097,0.49,2.78721387818046e-98,C1QB
ENSG00000074590,2.11817326038623e-97,-1.38909014606466,0.265,0.623,6.8383105538309e-93,NUAK1
ENSG00000267206,2.26930136976951e-97,-1.43084094695249,0.051,0.394,7.3262125421639e-93,LCN6
ENSG00000269028,3.29153468918941e-97,3.05412281584378,0.343,0.028,1.06263905905791e-92,MTRNR2L12
ENSG00000111912,1.32628840563709e-94,1.49715723138832,0.636,0.299,4.28178948875877e-90,NCOA7
ENSG00000129538,3.59976356653377e-92,1.17636250261172,0.909,0.837,1.16214766981976e-87,RNASE1
ENSG00000133110,8.02771675857714e-91,-2.69786053972232,0.108,0.449,2.59166807833904e-86,POSTN
ENSG00000130208,3.52955344322034e-90,-1.04914293694865,0.091,0.458,1.13948103360926e-85,APOC1
ENSG00000142973,4.74924104739615e-90,-1.39731469643998,0.046,0.369,1.53324497974137e-85,CYP4B1
ENSG00000100644,6.34853876896434e-90,1.28813451242221,0.629,0.301,2.04956225617245e-85,HIF1A
ENSG00000162407,4.7832272445396e-89,1.46719490346187,0.655,0.331,1.54421708362716e-84,PLPP3
ENSG00000008517,7.3534630741754e-89,1.45636810813926,0.508,0.155,2.37399201886679e-84,IL32
ENSG00000007908,9.97893416894464e-89,2.59342008351389,0.425,0.095,3.22159910710209e-84,SELE
ENSG00000125968,8.09794498290008e-88,-1.13730679273431,0.849,0.89,2.61434055827946e-83,ID1
ENSG00000188313,2.95823325269513e-85,1.09861104237938,0.734,0.45,9.55036023300094e-81,PLSCR1
ENSG00000138722,3.63234153822415e-85,-1.75922870143836,0.232,0.57,1.17266514220029e-80,MMRN1
ENSG00000101955,1.06044465578777e-83,-0.916681433530024,0.693,0.885,3.42353952674522e-79,SRPX
ENSG00000142910,1.24637730076157e-81,-1.08170646654851,0.47,0.752,4.02380447777864e-77,TINAGL1
ENSG00000275718,1.20400147456754e-80,-1.59584316808873,0.064,0.372,3.88699836049383e-76,CCL15
ENSG00000173372,3.60420422033676e-80,-0.925862267226971,0.104,0.445,1.16358129049352e-75,C1QA
ENSG00000136244,9.50223395048297e-80,1.82475866409683,0.434,0.113,3.06770120857392e-75,IL6
ENSG00000111666,1.44685486965349e-78,-1.05544705091097,0.103,0.42,4.67102626118932e-74,CHPT1
ENSG00000124767,2.67156470328633e-77,-1.06783647708392,0.313,0.624,8.62487948808959e-73,GLO1
ENSG00000105372,7.44348116831744e-77,-0.721526735887672,0.88,0.948,2.4030534603796e-72,RPS19
ENSG00000196843,3.08525134940511e-76,1.08595829596263,0.492,0.168,9.96042545641946e-72,ARID5A
ENSG00000148154,4.99457492725439e-76,1.29394472919601,0.629,0.335,1.61244856951481e-71,UGCG
ENSG00000197728,6.55782899557227e-76,-0.750152130198759,0.735,0.874,2.11712951293055e-71,RPS26
ENSG00000164265,3.60261176892045e-75,1.81785512942431,0.557,0.256,1.16306718347828e-70,SCGB3A2
ENSG00000088832,1.03862847947284e-74,0.992557246985895,0.909,0.859,3.35310818313011e-70,FKBP1A
ENSG00000108691,1.24063629366361e-74,2.38348606810038,0.506,0.189,4.0052702104636e-70,CCL2
ENSG00000175606,7.97615693710778e-74,1.3480388565221,0.472,0.169,2.57502250557588e-69,TMEM70
ENSG00000142748,4.51695193767583e-69,-1.83989315252373,0.583,0.791,1.45825276355927e-64,FCN3
ENSG00000138061,5.8522854486536e-69,1.83750853542268,0.55,0.252,1.88935183424333e-64,CYP1B1
ENSG00000163565,1.93575234530568e-68,0.953194371957376,0.835,0.674,6.24938287158487e-64,IFI16
ENSG00000133112,1.8223556968337e-67,-0.654449927281882,0.943,0.967,5.88329313165791e-63,TPT1
ENSG00000186468,1.67241917247926e-66,-0.618732171851017,0.891,0.955,5.39923805643203e-62,RPS23
ENSG00000152661,8.7136681044058e-66,1.1625836516465,0.578,0.283,2.81312061082637e-61,GJA1
ENSG00000145592,4.88381524042061e-65,-0.598499933766523,0.879,0.95,1.57669091221739e-60,RPL37
ENSG00000140105,4.2262185421939e-62,1.06183563206531,0.725,0.475,1.36439239416188e-57,WARS
ENSG00000204397,2.29477418674538e-60,1.42572074929056,0.61,0.379,7.40844898448877e-56,CARD16
ENSG00000168685,2.34033633574251e-59,-1.22073379758063,0.309,0.606,7.55554182631113e-55,IL7R
ENSG00000231500,1.3898819066402e-58,-0.590433565401247,0.897,0.959,4.48709474739721e-54,RPS18
ENSG00000010278,2.21518389808073e-58,-0.982340514790123,0.405,0.667,7.15149969656382e-54,CD9
ENSG00000137154,6.69236315271361e-58,-0.602519298146312,0.9,0.944,2.16056252022206e-53,RPS6
ENSG00000179144,6.7914435343674e-58,-0.889013924526946,0.509,0.752,2.19254963063517e-53,GIMAP7
ENSG00000130203,1.1420760244419e-57,-0.825772042599165,0.074,0.333,3.68707823730823e-53,APOE
ENSG00000197747,3.69057755038468e-57,-0.587068409368332,0.777,0.896,1.19146605636619e-52,S100A10
ENSG00000113594,1.83623754463515e-56,-0.606054684497592,0.73,0.904,5.92810928910012e-52,LIFR
ENSG00000065054,8.79501125089365e-56,-0.938032543159622,0.557,0.753,2.83938143223851e-51,SLC9A3R2
ENSG00000142534,1.6927477308138e-54,-0.592862788409831,0.824,0.906,5.46486677415926e-50,RPS11
ENSG00000185432,2.39429259977605e-54,-0.827832017697442,0.237,0.522,7.72973422911699e-50,METTL7A
ENSG00000141753,1.34342290308037e-52,0.961788337083308,0.676,0.459,4.33710650030465e-48,IGFBP4
ENSG00000084112,5.53019091183418e-52,1.07271384917761,0.396,0.146,1.78536683397655e-47,SSH1
ENSG00000143669,6.76106738014413e-52,-0.705690261982982,0.393,0.685,2.18274299300573e-47,LYST
ENSG00000176907,8.12765199634146e-51,0.96668591722678,0.701,0.465,2.62393117049888e-46,TCIM
ENSG00000197943,3.38675709034836e-50,2.04530228834411,0.3,0.084,1.09338065904806e-45,PLCG2
ENSG00000189067,4.15098628332882e-50,1.0948694623021,0.46,0.217,1.34010441170988e-45,LITAF
ENSG00000184897,4.40421687375039e-50,-0.89970478940067,0.182,0.436,1.42185737552157e-45,H1FX
ENSG00000127528,4.71420588468936e-50,-0.996838911243705,0.497,0.704,1.52193422781311e-45,KLF2
ENSG00000105854,2.11764888054821e-49,-0.795934645030365,0.552,0.737,6.83661764596184e-45,PON2
ENSG00000135914,2.39658337795476e-49,1.04033518353948,0.279,0.064,7.73712977738913e-45,HTR2B
ENSG00000197958,3.06026162186823e-49,-0.591764190064995,0.816,0.916,9.87974862003938e-45,RPL12
ENSG00000170323,1.31435383507071e-48,-0.628919490317706,0.108,0.365,4.24325992114227e-44,FABP4
ENSG00000100368,1.35623965887609e-48,1.13729302158932,0.361,0.126,4.37848411471557e-44,CSF2RB
ENSG00000101439,2.38280963012012e-48,-0.674734254435306,0.599,0.799,7.6926626098798e-44,CST3
ENSG00000187193,1.55453191507409e-47,-0.87229405551933,0.717,0.866,5.01865083462518e-43,MT1X
ENSG00000148175,1.95554789052197e-47,0.63612727315198,0.912,0.817,6.31329080976112e-43,STOM
ENSG00000133639,2.49076696906596e-47,-0.812201596384593,0.603,0.781,8.04119208293254e-43,BTG1
ENSG00000145335,2.70271498794524e-47,-0.775964095315143,0.1,0.332,8.72544506708242e-43,SNCA
ENSG00000187498,2.75578685169763e-47,1.33132896604421,0.477,0.238,8.89678227202063e-43,COL4A1
ENSG00000123933,2.38459498821515e-46,-0.687567676048107,0.203,0.463,7.69842645995378e-42,MXD4
ENSG00000105835,3.77972988782391e-46,0.901464453545374,0.849,0.755,1.22024799698507e-41,NAMPT
ENSG00000130300,2.28592136536297e-44,-0.851924992153241,0.18,0.428,7.3798685359378e-40,PLVAP
ENSG00000182197,5.97084706251533e-44,1.39692485260066,0.341,0.12,1.92762826566245e-39,EXT1
ENSG00000185339,1.16067440946758e-43,-0.750441687921517,0.408,0.634,3.74712126352514e-39,TCN2
ENSG00000134871,1.21605338859909e-43,1.52105673869792,0.447,0.221,3.92590675975331e-39,COL4A2
ENSG00000140416,1.90334124601103e-43,-0.664083540695467,0.528,0.746,6.144746878622e-39,TPM1
ENSG00000211592,5.29390398122756e-43,0.889841744039854,0.249,0.052,1.70908396129951e-38,IGKC
ENSG00000165732,6.49781856834121e-43,0.888450051823308,0.611,0.406,2.09775574660328e-38,DDX21
ENSG00000170458,8.83984087484491e-43,1.2807351230331,0.541,0.324,2.85385422803493e-38,CD14
ENSG00000233016,2.34006069240307e-42,-0.787227174290028,0.321,0.554,7.55465193935408e-38,SNHG7
ENSG00000135048,1.35896263078972e-41,1.24909649853215,0.57,0.356,4.38727495724152e-37,CEMIP2
ENSG00000276409,5.38500576466122e-41,-1.21738822055316,0.225,0.481,1.73849526106323e-36,CCL14
ENSG00000086544,6.42281382038476e-41,0.821996016169705,0.353,0.136,2.07354121377302e-36,ITPKC
ENSG00000072163,1.81614041949091e-40,-0.626562002905945,0.472,0.68,5.86322773028447e-36,LIMS2
ENSG00000130303,2.96955403334022e-40,0.653002148633193,0.815,0.749,9.58690824123556e-36,BST2
ENSG00000150347,4.13409602218716e-40,0.948664365222045,0.34,0.13,1.3346515598029e-35,ARID5B
ENSG00000182541,4.33337754475328e-40,0.60357254027441,0.266,0.073,1.39898760654815e-35,LIMK2
ENSG00000149021,6.41789128864278e-40,1.19895494078108,0.73,0.602,2.07195202362543e-35,SCGB1A1
ENSG00000134817,8.42849662625967e-40,0.755303123982645,0.155,0.012,2.72105585082167e-35,APLNR
ENSG00000142798,1.10042803839415e-39,-0.714769180739996,0.498,0.721,3.55262187915168e-35,HSPG2
ENSG00000171236,1.44978876412181e-39,1.34140374527063,0.302,0.107,4.68049804609085e-35,LRG1
ENSG00000153721,3.68304266299277e-39,0.776709205380756,0.38,0.16,1.18903349332058e-34,CNKSR3
ENSG00000137959,4.99124025252887e-39,0.612977780956766,0.351,0.129,1.61137200312642e-34,IFI44L
ENSG00000154217,1.24267315395448e-38,1.45729808646669,0.3,0.1,4.01184601022663e-34,PITPNC1
ENSG00000021355,1.7172455482538e-38,1.10141096119214,0.633,0.457,5.54395552798258e-34,SERPINB1
