,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000117115,0,1.00133443750788,0.395,0.022,0,PADI2
ENSG00000117154,0,1.37983979070631,0.716,0.018,0,IGSF21
ENSG00000033122,0,1.49397818594927,0.709,0.12,0,LRRC7
ENSG00000117069,0,1.87101234123021,0.753,0.058,0,ST6GALNAC5
ENSG00000122224,0,0.687401994546143,0.336,0.007,0,LY9
ENSG00000122223,0,1.13106350773804,0.492,0.009,0,CD244
ENSG00000235665,0,1.0003203648378,0.603,0.015,0,LINC00298
ENSG00000236790,0,3.44874940340695,0.95,0.046,0,LINC00299
ENSG00000231435,0,1.09362578400559,0.635,0.009,0,NA
ENSG00000144278,0,1.63447128792387,0.74,0.102,0,GALNT13
ENSG00000162989,0,0.64350777456827,0.343,0.007,0,KCNJ3
ENSG00000144331,0,2.6554063594943,0.917,0.075,0,ZNF385B
ENSG00000178568,0,1.63993360609665,0.731,0.128,0,ERBB4
ENSG00000115648,0,2.28188597506054,0.954,0.108,0,MLPH
ENSG00000237838,0,0.907420534507953,0.471,0.032,0,AC092422.1
ENSG00000144681,0,1.35058534558622,0.607,0.029,0,STAC
ENSG00000121577,0,1.11552731293034,0.605,0.042,0,POPDC2
ENSG00000169282,0,2.49950746216405,0.933,0.137,0,KCNAB1
ENSG00000109819,0,0.775360845735093,0.429,0.025,0,PPARGC1A
ENSG00000251165,0,0.944610563179572,0.423,0.013,0,F11-AS1
ENSG00000164188,0,1.71220375617229,0.686,0.05,0,RANBP3L
ENSG00000241956,0,3.97526674785475,0.967,0.086,0,AC109466.1
ENSG00000253236,0,0.760215525400636,0.421,0.005,0,LINC02143
ENSG00000253693,0,2.9730729233985,0.855,0.048,0,AC008415.1
ENSG00000145934,0,1.67895019254432,0.633,0.057,0,TENM2
ENSG00000004846,0,2.96322770589042,0.937,0.067,0,ABCB5
ENSG00000228113,0,0.890258841681166,0.458,0.042,0,AC003991.1
ENSG00000127954,0,1.42672625533908,0.536,0.044,0,STEAP4
ENSG00000242593,0,0.779484407556882,0.325,0.012,0,AC006148.1
ENSG00000101850,0,0.756402875115362,0.512,0.035,0,GPR143
ENSG00000147234,0,1.28760317009086,0.616,0.031,0,FRMPD3
ENSG00000077279,0,0.610231381989373,0.273,0.004,0,DCX
ENSG00000120907,0,2.51804854283447,0.896,0.045,0,ADRA1A
ENSG00000156687,0,2.72110692057892,0.946,0.14,0,UNC5D
ENSG00000253452,0,1.10143748116046,0.532,0.004,0,AC124290.1
ENSG00000253524,0,1.93068631820467,0.677,0.011,0,AC124290.2
ENSG00000165078,0,4.29854648892355,0.987,0.209,0,CPA6
ENSG00000255130,0,1.39738315738944,0.718,0.02,0,AC022874.1
ENSG00000253706,0,1.58513768582028,0.731,0.043,0,AC011632.1
ENSG00000137558,0,2.80256352000856,0.931,0.155,0,PI15
ENSG00000164949,0,2.15479733346549,0.931,0.257,0,GEM
ENSG00000136842,0,2.13120004371035,0.952,0.325,0,TMOD1
ENSG00000198739,0,2.19997137202106,0.835,0.09,0,LRRTM3
ENSG00000165730,0,0.862165648658041,0.506,0.033,0,STOX1
ENSG00000154493,0,2.16454198547662,0.863,0.026,0,C10orf90
ENSG00000008394,0,1.83872714257428,0.846,0.13,0,MGST1
ENSG00000048540,0,2.09080179172334,0.881,0.102,0,LMO3
ENSG00000165966,0,2.27643458859261,0.926,0.147,0,PDZRN4
ENSG00000025423,0,1.19843667716729,0.707,0.088,0,HSD17B6
ENSG00000166006,0,3.35749828229604,0.622,0.095,0,KCNC2
ENSG00000012504,0,0.783048319344494,0.399,0.016,0,NR1H4
ENSG00000166923,0,1.7956352783682,0.629,0.071,0,GREM1
ENSG00000259255,0,0.732680194015227,0.304,0.013,0,AC073941.1
ENSG00000137872,0,2.04660227966208,0.896,0.171,0,SEMA6D
ENSG00000103647,0,1.98751015019403,0.913,0.241,0,CORO2B
ENSG00000182253,0,1.23008037033896,0.631,0.09,0,SYNM
ENSG00000183454,0,1.91237061449769,0.79,0.084,0,GRIN2A
ENSG00000171208,0,1.27197785936473,0.553,0.06,0,NETO2
ENSG00000260281,0,1.07475664419247,0.57,0.031,0,ITFG1-AS1
ENSG00000260744,0,1.06783296148097,0.564,0.011,0,AC007494.2
ENSG00000258779,0,1.15835017811269,0.364,0.019,0,LINC01568
ENSG00000267405,0,1.11246256496711,0.644,0.048,0,AC005180.1
ENSG00000197971,0,1.57220567664043,0.879,0.201,0,MBP
ENSG00000225458,0,0.885378154073421,0.484,0.006,0,AL049812.2
ENSG00000160229,0,1.8451936129835,0.816,0.115,0,ZNF66
ENSG00000154654,0,3.23336340813838,0.974,0.219,0,NCAM2
ENSG00000183049,1.24140957343928e-303,2.05640423823326,0.965,0.359,4.16343942740065e-299,CAMK1D
ENSG00000245532,1.32594187431396e-300,2.2073900584196,1,0.958,4.44694385807416e-296,NEAT1
ENSG00000196376,1.67930850333093e-300,1.95972763116274,0.928,0.294,5.63206485847127e-296,SLC35F1
ENSG00000158258,1.48988604066984e-299,2.34610140439521,0.861,0.227,4.9967798031985e-295,CLSTN2
ENSG00000187672,1.81046057335362e-297,1.22165068698442,0.675,0.11,6.07192267091337e-293,ERC2
ENSG00000255557,3.28451516669144e-296,0.872461544067685,0.577,0.076,1.10156069660497e-291,AP001266.2
ENSG00000088538,1.16231477936806e-291,1.65280044770275,0.95,0.292,3.8981713070446e-287,DOCK3
ENSG00000175161,2.6396016924606e-287,1.43502174439544,0.57,0.082,8.85269615617437e-283,CADM2
ENSG00000221866,7.07884383608651e-286,1.42930889518036,0.727,0.137,2.37410264574669e-281,PLXNA4
ENSG00000080293,8.4172171097397e-286,0.585465937650301,0.278,0.013,2.8229662742645e-281,SCTR
ENSG00000185664,2.46246935075227e-280,0.972653374208388,0.393,0.034,8.25862970855297e-276,PMEL
ENSG00000175471,3.55842925629237e-278,1.66106939516953,0.915,0.256,1.19342600397533e-273,MCTP1
ENSG00000077092,7.59140079777182e-276,1.31023855268231,0.724,0.141,2.54600399955671e-271,RARB
ENSG00000135842,1.36126709163813e-275,2.10601817345103,0.941,0.327,4.56541757193595e-271,NIBAN1
ENSG00000073792,2.34009245130111e-273,1.13521717440526,0.759,0.151,7.84820206317367e-269,IGF2BP2
ENSG00000184613,3.6654387477245e-272,0.741836848489767,0.399,0.036,1.22931484721184e-267,NELL2
ENSG00000104626,5.4900680171182e-272,1.52636111385182,0.612,0.105,1.8412590115811e-267,ERI1
ENSG00000198010,1.62783084279151e-270,0.900469852305775,0.494,0.059,5.45941908055415e-266,DLGAP2
ENSG00000156804,3.86001951085147e-268,1.88970795871713,0.894,0.261,1.29457334354936e-263,FBXO32
ENSG00000148848,3.19599601253811e-267,1.98321722196595,0.972,0.35,1.07187314268503e-262,ADAM12
ENSG00000127399,8.17492709655365e-266,0.697583366141351,0.406,0.039,2.74170704964216e-261,LRRC61
ENSG00000163393,7.37901760576152e-264,0.973900397649374,0.629,0.105,2.4747749246203e-259,SLC22A15
ENSG00000144893,1.99578315170819e-262,1.5699340360492,0.829,0.216,6.69345753419892e-258,MED12L
ENSG00000197147,1.65970956605741e-260,1.00201568679353,0.616,0.101,5.56633394264333e-256,LRRC8B
ENSG00000143387,1.75718451160601e-258,1.20738191661612,0.72,0.147,5.89324541502425e-254,CTSK
ENSG00000173281,4.98780814270716e-258,0.768034438903171,0.566,0.082,1.67281109490113e-253,PPP1R3B
