dc_lam31_p_val	dc_lam31_delta	sc_lam31_p_val	sc_lam31_delta	dc_lam32_p_val	dc_lam32_delta	sc_lam32_p_val	sc_lam32_delta	dc_nonlam_p_val	dc_nonlam_delta	sc_nonlam_p_val	sc_nonlam_delta
ABL1	0.99999999999981	-0.440610504264552	1	-0.582223552296873	0.999999444213772	-0.328101802757158	0.999999999957643	-0.434019088016967	0.999999973666458	-0.220012608453551	0.999999977374571	-0.220913475100757
AHR	0.999999999999921	-0.447733054017657	0.999999999819864	-0.380398024839144	0.999999270001318	-0.324453870625663	0.999999578049397	-0.331749734888653	0.99999999665408	-0.234421936746774	0.999999996281948	-0.233705781491085
AIRE	0.999999999927908	-0.388957055214724	0.999999999999994	-0.467574442615592	0.982915004440377	-0.142651113467656	0.9999933585337	-0.293361611876988	0.999999999907504	-0.257661229986533	1	-0.36863549058904
APEX1	0.993958509654785	-0.152237019302708	0.98951330262053	-0.140026934011671	0.503014181780241	-0.000466595970307534	0.55732255280962	-0.00967126193001061	0.992978695632784	-0.0992984401331492	0.999999101685822	-0.193046462396636
AR	1	-0.713661529253329	1	-0.685021696842735	0.999999999999967	-0.504899257688229	1	-0.542990455991516	1	-0.52584916953464	1	-0.567061150999723
ARID1A	0.999999990626009	-0.341134221158162	0.999999914277211	-0.307706120005985	0.999962775905305	-0.266850477200424	0.999960558919562	-0.255270413573701	0.819337685992673	-0.0369045020028798	0.99427873272297	-0.0997441514191869
ARID1B	0.999986218391032	-0.254346850216968	0.999999747997217	-0.24524913960796	0.00532832275349617	0.172089077412513	0.831105537492488	-0.0453446447507953	5.18973025613423e-05	0.156923978874708	0.995518236357993	-0.0835194756453247
ARID3A	0.801345147404423	-0.0513242555738441	0.999977824871995	-0.227293131827024	0.0477325371321614	0.11236479321315	0.985887679261846	-0.132470837751856	1.56173046738492e-05	0.168354130740342	0.853162109553293	-0.0384457260040769
ARID3B	0.999908315423475	-0.226934011671405	9.81539617529776e-06	0.258446805326949	0.999822349337113	-0.240551431601273	0.0102237935158652	0.156055143160127	0.984659231416077	-0.087372412997991	0.000203334829040367	0.14255438928723
ARID4A	0.116299346152772	0.0724524913960796	0.559034220804164	-0.00634445608259764	0.704173052920282	-0.0360975609756098	0.991811768213063	-0.121781548250265	0.0132399716142519	0.0897142983297479	0.996849522934145	-0.0899252568911086
ARID5B	0.999037690996124	-0.188149034864582	4.16189383143054e-06	0.264252581176118	0.99999152157509	-0.289756097560976	0.0391258968912212	0.117709437963945	0.999999999999536	-0.288684526189524	0.970598175052593	-0.0758317531882952
ARNT	1	-0.538231333233578	1	-0.629328146042197	0.999999643283125	-0.333955461293743	0.999999999999998	-0.529501590668081	0.999972178552626	-0.162948317605473	0.99999999858318	-0.240181964024206
ARNTL	1	-0.603172228041299	1	-0.542002094867574	0.999999995629722	-0.387571580063627	0.999999957658515	-0.36084835630965	1	-0.354117248805999	1	-0.419393837557002
ARNTL2	0.99999999999152	-0.408289690258866	0.999999999995847	-0.405087535537932	0.9993837230513	-0.217645811240721	0.999374469082983	-0.206998939554613	0.999997717621386	-0.185316916178314	0.999999999193672	-0.241893671979061
ARX	1	-0.582103845578333	1	-0.665090528205896	0.999905175360946	-0.251410392364793	0.999999722478276	-0.337179215270414	0.999999691547965	-0.201568697674305	0.999999999999764	-0.292391387003481
ASCL1	0.999999980888661	-0.333592697890169	0.99999927561264	-0.292293879994015	0.0124166821928004	0.151219512195122	0.0514071335768676	0.109946977730647	2.62263872852979e-70	0.71506906439878	1.89035042406487e-62	0.672590350362922
ASCL2	0.999999999999999	-0.484303456531498	0.999971929410676	-0.244321412539279	0.999966156020807	-0.268377518557794	0.542911535049832	-0.00721102863202545	0.0573824515076731	0.0637607533673647	1.5291063737601e-08	0.220684854892399
ATF1	1	-0.539667813856053	1	-0.5290737692653	0.999999999978144	-0.443987274655355	0.999999999998498	-0.470031813361612	0.999999999999998	-0.31896517466633	1	-0.366934085261601
ATF2	1	-0.508484213676493	0.999999999999999	-0.479066287595391	0.999999999999978	-0.508462354188759	0.999999999998826	-0.47236479321315	0.896864516822928	-0.0510964939177703	0.999999714947257	-0.202184402312695
ATF3	0.999999999946872	-0.391770163100404	0.999999878143215	-0.313182702379171	0.999876050147548	-0.246829268292683	0.99537767055404	-0.175312831389183	1	-0.363706541923108	0.999999999999998	-0.317306696953121
ATF4	0.999999999999991	-0.464851114768816	0.999999999924325	-0.388508155020201	1	-0.571495227995758	0.999999999999723	-0.48576882290562	0.99999999999954	-0.288733095718768	0.999999999999869	-0.295655480139233
ATF5	1	-0.535358371988628	1	-0.494897501122251	0.999948790580592	-0.261675503711559	0.999992669262816	-0.291919406150583	0.159265691458321	0.0403264461086731	0.999970999926144	-0.162553628855206
ATF6	1	-0.611910818494688	1	-0.517073170731707	1	-0.554443266171792	0.999999986769477	-0.374761399787911	1	-0.433744538994218	1	-0.350656179246093
ATF7	2.59709731580365e-05	0.245548406404309	0.931908350769934	-0.074038605416729	0.00491910884044281	0.173955461293743	0.949171459774973	-0.0905620360551432	1	-0.357094217527713	1	-0.464341257362086
ATOH1	7.75772074023553e-23	0.592638036809816	1.59260639865618e-26	0.51219512195122	9.04753267767016e-12	0.452810180275716	1.55390911893525e-14	0.43575821845175	3.30760389005879e-16	0.326555512764219	4.98221726948218e-54	0.368790643251902
ATOH7	8.69313051119133e-33	0.720065838695197	0.618927714253681	-0.00460870866377376	2.4840014032659e-19	0.60050901378579	0.890859684129438	-0.023711558854719	5.04749610816886e-35	0.496912523334225	0.396938912807313	0.00237794452771039
BACH1	1	-0.561334729911716	0.999999999999961	-0.453478976507556	0.999999999997735	-0.466129374337222	0.99999999277165	-0.381802757158006	0.999999999998989	-0.284330930204605	0.999999995098012	-0.231818560919191
BACH2	0.99999999999998	-0.458805925482568	0.999999999999827	-0.438455783330839	0.999999996949422	-0.391643690349947	0.999999999999921	-0.492979851537646	2.13819939833298e-06	0.185867738794053	0.874904222052477	-0.0460261294255304
BARX1	0.999186300432636	-0.191141702828071	0.999999959369636	-0.325392787670208	4.75450705037743e-10	0.412173913043478	0.0150491641124007	0.146086956521739	1.07029215796253e-77	0.752844138418252	3.85759125067985e-61	0.649138504107559
BARX2	0.999999977153409	-0.331677390393536	0.999999955276205	-0.324375280562622	0.475399559110105	0.00419936373276776	0.91437184645366	-0.0921314952279958	2.04604790572672e-56	0.638066613845259	1.44789889067409e-45	0.57030476153097
BATF	0.999999999826584	-0.380757144994763	0.0181012408330815	0.127098608409397	0.852900807378272	-0.0706256627783669	1.11958603527602e-06	0.31864262990456	0.958935953637277	-0.0702830524232025	7.18563196227264e-05	0.153604079840456
BCL11A	0.999999999999999	-0.482328295675595	0.999999999999965	-0.453658536585366	0.999999999990136	-0.451876988335101	0.999999999999894	-0.493573700954401	0.994891232282664	-0.103834785104363	0.987283456978146	-0.0890356740739287
BCL11B	7.24522673295724e-13	0.429537632799641	3.58714489761067e-11	0.395421218015861	0.00293244695821694	0.185662778366914	0.0150628952409238	0.146129374337222	1.73984785581659e-27	0.436584139350395	2.28567135591222e-26	0.426917821828324
BCL3	0.999989948666348	-0.258656292084393	0.999998451503201	-0.282956755947928	0.998426200973125	-0.198897136797455	0.996654051756036	-0.182651113467656	1	-0.430751625730076	1	-0.464972661242252
BCL6	1.47593596749231e-06	0.283615142899895	0.999999910629456	-0.316684123896454	0.209056796811265	0.0545917285259809	0.999999877628394	-0.347698833510074	0.0410085274982979	0.0703088089917407	0.999999999999965	-0.302778397843317
BCLAF1	1	-0.577794403710908	0.999999999940274	-0.390692802633548	0.999999998311982	-0.398260869565217	0.999844067013508	-0.242841993637328	0.999999999999468	-0.287925320669278	0.999999985879528	-0.224457210980638
BHLHA15	0.999999985155955	-0.33628609905731	0.99998226345931	-0.250785575340416	0.999999999999793	-0.488441145281018	0.999999980719238	-0.370265111346766	0.0777493384793738	0.0574232883533703	0.014706298986618	0.0879580683064198
BHLHE40	0.999414100089534	-0.196887625317971	0.999998922577327	-0.287445757893162	0.455881891661549	0.00750795334040297	0.69254325788681	-0.0338494167550371	1.45651948778617e-06	0.189077007233916	0.987219855879441	-0.0902592337298209
BHLHE41	0.999837116975205	-0.218015861140206	0.00541224208949981	0.1546311536735	0.932671872261445	-0.100742311770944	1.62899610574723e-05	0.279915164369035	6.77258188716395e-08	0.213109725434979	4.20401573107505e-21	0.377609937620044
BRCA1	1	-0.609815950920245	1	-0.670447403860542	0.99999999737655	-0.393340402969247	1	-0.542142099681866	0.99999352056631	-0.176299050931775	1	-0.348459021299456
BRD4	0.999998728943715	-0.285410743677989	0.999357393540391	-0.192039503217118	0.999788978769505	-0.237497348886532	0.999682146047986	-0.223457051961824	0.996703733667267	-0.10983336726659	0.999346224506772	-0.128575440989248
CDX1	0.969493759043527	-0.113631602573694	0.999998493901122	-0.283226096064642	0.999999846301704	-0.344814422057264	0.999999999999999	-0.540530222693531	0.00242127329154982	0.113899470886492	0.993439785365577	-0.100135651260968
CDX2	0.999962041866788	-0.240041897351489	0.999999999043117	-0.364297471195571	0.544617366749653	-0.00750795334040296	0.999981589270163	-0.27796394485684	0.997124862567328	-0.11165006390082	0.999999999999299	-0.286386059073303
CEBPA	0.0110188576627695	0.138949573544815	0.999981114034038	-0.249977554990274	0.405452895912358	0.0161611876988335	0.999998287123794	-0.312788971367975	1	-0.521129217024846	1	-0.573218810635255
CEBPB	1	-0.566482118808918	1	-0.565045638186443	0.999999999992963	-0.455185577942736	0.999999999999777	-0.487762460233298	0.277061358276297	0.0239171815936202	0.999013803677153	-0.125099162788872
CEBPD	0.999996594744782	-0.272961244949873	0.999999964647222	-0.326948975011222	0.999955965046324	-0.264135737009544	0.999999331804475	-0.325641569459173	0.999999538843888	-0.198402356848672	0.999999999972228	-0.265017305961051
