,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
TCF21,1.96336458940753e-26,-0.209995003521409,1.39259250352737e-20,-0.183584265696702,0.472,0.47,1.00425531914894,0.0027563619479867
KLF12,2.20489176378498e-26,-0.209781502115403,1.47452635568376e-27,-0.212970039886565,0.183,0.111,1.64864864864865,0.14866749084094
PRDM6,4.48274981524493e-17,-0.165792709233936,1.66568143429906e-13,-0.145427539976092,0.245,0.199,1.23115577889447,0.176407164671149
KAT6B,6.08557404543124e-15,-0.15400170187223,1.56644479104823e-11,-0.122125191631154,0.375,0.386,0.971502590673575,0.176407164671149
HLX,4.51400439425896e-26,-0.208458202666039,2.9858761707544e-18,-0.171876817191979,0.082,0.105,0.780952380952381,0.216435890813844
RREB1,3.3736480688815e-53,-0.303045464544613,1.32710717550713e-07,-0.0593155335915132,0.21,0.121,1.73553719008264,0.239122205004883
KLF3,1.1027144398435e-11,-0.134071038670698,9.31432891362802e-41,-0.258633761529843,0.214,0.107,2,0.239122205004883
TBX5,1.62003626209216e-17,-0.168135767795052,2.38060260119306e-18,-0.172466162926129,0.223,0.18,1.23888888888889,0.312516053051985
ZEB2,0.00330184301885483,-0.0579942804815036,3.00626616591305e-23,-0.196050906102013,0.555,0.548,1.01277372262774,0.373713991769547
KLF10,1.40348365162839e-37,-0.25288866379156,4.67962295037463e-06,-0.0903683922423275,0.274,0.139,1.97122302158273,0.820663065137992
TBX2,7.0968343230432e-18,-0.1700122609833,0.00178350811556869,-0.0616623437747799,0.291,0.282,1.03191489361702,0.985185679125246
MECOM,1.23532964749156e-24,-0.202235966801555,1.1499201438885e-09,-0.120148768871086,0.254,0.124,2.04838709677419,1
HOXB3,2.00781063900308e-12,-0.138838327254,2.5986392168124e-12,-0.118580590812277,0.122,0.106,1.15094339622642,1
NR2F1,3.91278988630795e-06,-0.091111554484638,3.0079833323738e-05,-0.0823655000827062,0.42,0.266,1.57894736842105,1
ZFPM2,0.000105717486384743,-0.0765272939037845,1.84621306225951e-07,-0.102913816712795,0.375,0.242,1.5495867768595,1
PBX1,0.000263902820471713,-0.0720130692873453,0.0111913170360262,-0.0500698313304787,0.478,0.511,0.935420743639922,1
MEF2A,0.00349642880870339,-0.0576429922256157,1.47364321448468e-22,-0.192898179269559,0.411,0.276,1.48913043478261,1
RFX2,0.00688644979017248,-0.053338858449591,2.84710320355293e-06,-0.0924062051830365,0.229,0.264,0.867424242424242,1
