,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
FOSL1,3.2914218614831e-255,0.673542707954974,4.55405509729461e-215,0.617824297892441,0.121,0.007,17.2857142857143,2.56887787147149e-08
STAT3,3.10236388709534e-192,0.583767072012387,1.80229128124287e-140,0.498029545729716,0.684,0.44,1.55454545454545,2.56887787147149e-08
TEAD4,1.21546396738117e-172,0.55287689734027,5.95516913191155e-136,0.489834979783872,0.169,0.019,8.89473684210526,3.2759991042385e-07
NRF1,2.22343488255284e-164,0.539321945454824,8.85317813463669e-112,0.443448218235271,0.207,0.065,3.18461538461538,3.24602661032778e-05
ELK3,2.3719104252164e-110,0.440555717557421,4.20019013213784e-88,0.392761074532795,0.262,0.035,7.48571428571428,3.76117216273713e-05
NKX2-1,4.04648564853618e-110,0.440084036336166,6.95239275419914e-101,0.42087880043587,0.111,0.003,37,3.76117216273713e-05
EPAS1,4.08940392545034e-128,0.475290622820435,3.60526531004075e-110,0.440186012247341,0.513,0.155,3.30967741935484,5.2532857065575e-05
ETS2,2.63631666265945e-124,0.468058177427854,1.01941826005091e-134,0.487574456910062,0.437,0.193,2.26424870466321,0.000207611455962683
YBX1,4.45710433723218e-108,0.435910186165723,9.5950272326429e-99,0.41630318563879,0.553,0.375,1.47466666666667,0.00050157748366675
PPARA,4.2193363783274e-133,0.484595327866197,1.12846377996607e-89,0.396323751349305,0.101,0.073,1.38356164383562,0.00072403042855791
STAT1,1.65747814557068e-96,0.411464616234633,1.25769114481363e-80,0.375343316058819,0.252,0.069,3.65217391304348,0.000937502902882071
HIF1A,1.10640459161376e-62,0.329829318244991,8.87435024388995e-52,0.298830346530517,0.577,0.159,3.62893081761006,0.00272377478879041
AR,1.15741122530019e-119,0.459090436262498,1.74261931546084e-82,0.379747038350105,0.113,0.075,1.50666666666667,0.00392813188021131
NFKBIZ,1.79392225346213e-79,0.372582122156228,7.95775297678137e-68,0.336701948967707,0.469,0.243,1.93004115226337,0.00418124232449763
