,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
CREBBP,0,-0.318839118349969,0,-0.310128621298168,0.334,0.216,1.5462962962963,0.00105722496
SREBF1,0,-0.36571657414986,0,-0.35267718261449,0.166,0.18,0.922222222222222,0.00105722496
HCFC1,0,-0.272529553468055,0,-0.28539008214242,0.133,0.12,1.10833333333333,0.00323026944
NR1H2,3.38371848713162e-97,-0.134775922019788,4.3384777803675e-74,-0.117303066149676,0.348,0.403,0.863523573200992,0.006442450944
NFYC,0,-0.251680658237287,0,-0.281264849166663,0.183,0.176,1.03977272727273,0.00762
SREBF2,0,-0.304135270614042,0,-0.334046807493499,0.441,0.36,1.225,0.00762
TFAM,3.01083174256192e-167,-0.177563129806525,2.02105382668271e-85,-0.126168927390858,0.179,0.223,0.802690582959641,0.02293235712
ESRRA,1.5353895586156e-176,-0.182488960694621,1.42305544678062e-70,-0.114412283507432,0.178,0.277,0.642599277978339,0.024576
ILF2,2.80312843328427e-120,-0.150221765854265,3.40431738312591e-126,-0.153931978893893,0.367,0.372,0.986559139784946,0.032934190464
ZBTB4,1.41178783406818e-177,-0.183030173529532,1.74005030107313e-75,-0.118431154877366,0.174,0.215,0.809302325581395,0.0656099999999999
HDGF,1.6774592064487e-98,-0.135695717363284,1.1195086150405e-45,-0.0870343029521636,0.376,0.357,1.05322128851541,0.148769467776
FOXA1,5.9781277557902e-240,-0.213089591163524,1.53913327095264e-64,-0.109274114444325,0.154,0.187,0.823529411764706,0.19491851328
NFE2L2,2.54085575490129e-90,-0.129821785220464,1.31951896791553e-56,-0.102129107740494,0.502,0.419,1.19809069212411,0.30581748288
TTF1,5.03024617902567e-53,-0.0987358217882703,2.43115434655553e-106,-0.141096172621455,0.081,0.108,0.75,0.33621540864
HES1,2.00099647462884e-203,-0.196046150262645,5.81893007863212e-53,-0.0986748449465085,0.322,0.281,1.14590747330961,0.340801413504
HLF,1.39215250801307e-146,-0.166087463550183,5.84387125925498e-34,-0.0778461279228951,0.219,0.213,1.02816901408451,0.340801413504
LITAF,6.24186897277368e-62,-0.106977466207317,5.3096308602147e-32,-0.0758469262067754,0.334,0.307,1.08794788273616,0.412316860416
DBP,9.48046135627596e-76,-0.118644007705307,9.45175994605568e-102,-0.137959702294247,0.043,0.143,0.300699300699301,0.45517873536
RREB1,4.1247525961382e-228,-0.207718196640879,2.00298335627965e-101,-0.0983306374414964,0.311,0.217,1.4331797235023,0.45723780672
YY1,1.78977255794802e-37,-0.0824119190569119,4.05776624851501e-59,-0.104444169115716,0.366,0.404,0.905940594059406,0.495923700096
YBX3,5.66856676888727e-31,-0.0745495585993358,4.95190133388198e-76,-0.118870153827855,0.719,0.679,1.05891016200295,0.593204895744
NPM1,1.06242797876375e-79,-0.121775243821592,2.04889055036835e-11,-0.043162500328806,0.74,0.8,0.925,0.684945714816
THRA,2.49146341603085e-68,-0.112529332357907,5.213926413929e-51,-0.0967741211157523,0.095,0.123,0.772357723577236,0.77561622528
MEIS2,3.75490058095976e-80,-0.122128181365218,1.06229250355031e-197,-0.189917647906487,0.134,0.11,1.21818181818182,0.93377359872
E2F4,9.17596557670428e-74,-0.117038572665372,3.20083077276956e-52,-0.0979582993884779,0.165,0.134,1.23134328358209,0.985238941056
POU2F1,4.67580293175961e-94,-0.132535961850112,5.53278118219078e-07,-0.0322534288275024,0.202,0.126,1.6031746031746,1
ZNF219,8.30568480145214e-89,-0.128705102726631,8.14233274545508e-37,-0.0777630972499616,0.092,0.111,0.828828828828829,1
PRDM2,3.19378086613988e-85,-0.126022422856385,1.06728828366898e-23,-0.0646209695527513,0.278,0.194,1.43298969072165,1
MTF2,7.25547389185207e-80,-0.121904780058304,1.27678732710823e-19,-0.0540538944549768,0.202,0.159,1.27044025157233,1
NFE2L1,1.22600612163559e-74,-0.117747966453778,1.37845982127499e-21,-0.0488564335619282,0.174,0.216,0.805555555555555,1
FOXA2,6.22356416834587e-65,-0.109616255713124,4.8712462636103e-07,-0.0324110308040747,0.257,0.337,0.762611275964392,1
PLAGL2,1.19848794615298e-61,-0.106725019413852,1.91265206657922e-24,-0.0657004331090336,0.144,0.102,1.41176470588235,1
NR4A1,1.25319460954137e-50,-0.0963990039369043,3.3668263284084e-73,-0.116578133654985,0.495,0.355,1.3943661971831,1
ARID4A,2.91214888168111e-41,-0.0866694978931634,1.28541543400251e-05,-0.0237220004978791,0.256,0.308,0.831168831168831,1
CREM,3.60731395908179e-29,-0.0722186878485106,1.89266382475803e-99,-0.136359852191678,0.236,0.154,1.53246753246753,1
PHF20,4.20201679691671e-27,-0.0694539799254859,1.27196097896933e-14,-0.0491960625619728,0.313,0.23,1.36086956521739,1
NACC1,3.92868406024962e-23,-0.0638116797242375,3.80076439037804e-77,-0.104059075294486,0.106,0.119,0.890756302521008,1
LRRFIP1,7.72565082851757e-22,-0.0618645532602882,1.96133183066221e-48,-0.0938307295071874,0.744,0.656,1.13414634146341,1
HIVEP2,1.27264388498727e-20,-0.0599767567487201,1.81457577791451e-05,-0.0275605832275753,0.319,0.124,2.57258064516129,1
CTCF,1.57095425790572e-15,-0.0513495801003916,2.16043480494094e-35,-0.0799772142179925,0.184,0.138,1.33333333333333,1
NR2F2,9.17679615667544e-12,-0.0439261156627186,5.02297338015606e-18,-0.0557404311724137,0.077,0.121,0.636363636363636,1
GRHL2,2.11734677501367e-11,-0.0431456006514363,4.36727288679848e-23,-0.063739670248524,0.241,0.118,2.04237288135593,1
ATF6,1.40468575623575e-08,-0.0365434879820916,3.55453093365376e-23,-0.063876087585542,0.441,0.321,1.37383177570093,1
NONO,1.64821931353901e-06,-0.0308717801311183,1.20054767916262e-20,-0.0599382683339388,0.349,0.387,0.901808785529716,1
ATF1,1.81837479225333e-06,-0.0307445998611581,8.68265802608128e-05,-0.0252825692389274,0.21,0.189,1.11111111111111,1
MZF1,6.60756326747519e-06,-0.0290267188740766,5.98360760926902e-06,-0.0291618972318153,0.138,0.108,1.27777777777778,1
PURA,0.00012280187151403,-0.0247397323881002,0.000558887739390398,-0.0221567655702526,0.309,0.335,0.922388059701493,1
