,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
ETS2,0,0.468234934869718,0,0.461740323667135,0.707,0.565,1.25132743362832,7.14344052359639e-08
SNAI1,0,0.358862525527738,0,0.324513830249164,0.113,0.006,18.8333333333333,7.73267933527148e-05
FOXO1,0,0.388387112023169,0,0.380455551713661,0.131,0.082,1.59756097560976,8.8667359666584e-05
SMAD3,0,0.397328897914588,0,0.405519118975177,0.187,0.09,2.07777777777778,0.000108664784050259
NFKBIZ,0,0.31130322702637,0,0.303886761868564,0.643,0.475,1.35368421052632,0.000201248693729897
NR3C2,0,0.390627083629576,0,0.369981015025197,0.315,0.179,1.75977653631285,0.000275365498267244
STAT3,0,0.346482354838328,0,0.299795103325154,0.742,0.651,1.13978494623656,0.000567774995060198
KLF2,0,0.337366768745852,0,0.34836684232216,0.135,0.1,1.35,0.000958486059391294
ETV6,0,0.285386403327022,0,0.305418147882279,0.27,0.13,2.07692307692308,0.00161139286358995
SMAD1,0,0.309466228665253,0,0.297270406655873,0.171,0.096,1.78125,0.00273998169935467
BCL3,1.21260220608036e-256,0.220441423537633,0,0.261716687754729,0.4,0.16,2.5,0.00301203054968293
CUX1,0,0.269801614637797,0,0.282336798790146,0.517,0.358,1.44413407821229,0.00441397027035862
NFKB1,0,0.273868093310007,0,0.25677199769588,0.377,0.215,1.75348837209302,0.00517335303560759
SOX5,0,0.247240373798142,0,0.263163003545006,0.311,0.159,1.9559748427673,0.0077897764760387
NCOA1,0,0.304713481276355,0,0.341335009704067,0.362,0.247,1.46558704453441,0.00793482377291308
EWSR1,0,0.303050698650885,0,0.301216666215551,0.426,0.342,1.24561403508772,0.00965225638642587
SMAD2,0,0.352307307271055,0,0.302537460061979,0.439,0.345,1.27246376811594,0.00965225638642587
TEAD1,7.94429869118506e-214,0.20104653339316,3.21767966192912e-230,0.208684646225669,0.442,0.287,1.54006968641115,0.0102490661140002
BACH1,0,0.301604279930022,0,0.329844185965834,0.229,0.149,1.53691275167785,0.0116239660558295
RUNX1,0,0.260458185974221,9.50108964374619e-221,0.204306745346299,0.437,0.258,1.6937984496124,0.0134356174897413
MBD2,0,0.457692216198453,0,0.298015101823129,0.204,0.217,0.940092165898617,0.0138713369200661
ELF2,0,0.248666038663016,0,0.27256390941041,0.326,0.206,1.58252427184466,0.0146655616272348
TCF7L1,7.45495112838608e-198,0.19331471941694,3.40165659142382e-247,0.216310998285634,0.419,0.262,1.59923664122137,0.0159879357711781
TCF7L2,0,0.291982496463191,0,0.273789400970674,0.296,0.184,1.60869565217391,0.0163039670135761
