,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM1.pct,LAM2.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
MYOCD,4.21183436491484e-39,0.917738063483596,1.12432148182454e-36,0.887063216857829,1.17322894039124e-99,0.958752619995323,6.16782770379076e-163,0.964096885992488,0.264,0.017,0.014,15.5294117647059,18.8571428571429,7.67885963706882e-13
TCF21,7.91609905516739e-30,0.794825286743131,5.32939347574027e-22,0.674153107495332,8.27772495289962e-89,0.903803212051022,2.51276186317052e-84,0.879212122595728,0.724,0.4,0.062,1.81,11.6774193548387,3.42504548672329e-09
SRF,2.51891593231131e-25,0.727820752200587,4.5258828869123e-19,0.623152840757535,9.73620464345336e-98,0.949263100285122,2.10316130569497e-93,0.927473408242936,0.387,0.157,0.095,2.46496815286624,4.07368421052632,2.44865629762617e-08
PURA,7.25289369527127e-28,0.76633769005068,3.64965896610352e-16,0.568151507068552,2.27747896118301e-86,0.890982279977467,6.35136679186957e-81,0.861002499523357,0.411,0.339,0.288,1.21238938053097,1.42708333333333,5.89686585716947e-07
HOXA10,1.15230523285891e-15,0.558175513470259,1.8545192825675e-14,0.53331555081355,2.00958998046152e-105,0.986720318083012,1.80714085318194e-105,0.986940592049529,0.466,0.261,0.002,1.78544061302682,233,1.26506244513855e-06
MEF2A,7.5821727857304e-24,0.704454521205655,1.01049033121196e-18,0.616804481194985,2.35412055639372e-83,0.874882227469583,6.52991175476763e-66,0.775219055364041,0.663,0.357,0.365,1.85714285714286,1.81643835616438,5.79466251574079e-06
PITX2,1.79078568056723e-12,0.489783942384636,3.42132501896254e-09,0.408215524139771,1.34238006145832e-68,0.791384819853533,5.23769482016361e-57,0.719075416993427,0.209,0.07,0.001,2.98571428571429,209,5.79466251574079e-06
SMAD2,3.51978708319038e-17,0.58794345158709,4.89359552456867e-10,0.430621499066418,2.09610061879611e-59,0.734612907067216,3.85536843126661e-49,0.665576300248842,0.466,0.409,0.366,1.13936430317848,1.27322404371585,0.00039856093420273
EGR2,3.42216395586347e-10,0.434622566017605,2.32664465314213e-09,0.412750066684449,7.92943131580004e-47,0.649014721334922,2.27648492984547e-40,0.600389243226267,0.196,0.226,0.05,0.867256637168142,3.92,0.000512031658592934
FOXF1,1.61461620806985e-22,0.682795412109896,9.37854135432992e-16,0.559882635369432,2.44633735176092e-39,0.592259005163789,4.48191053961591e-37,0.569159855347259,0.337,0.139,0.099,2.42446043165468,3.4040404040404,0.000737163364371487
SKI,1.5166609522863e-08,0.390237396639104,2.08053761303006e-08,0.375460122699387,2.30835429368133e-34,0.551377822915773,2.69101775952585e-43,0.510879497800037,0.399,0.226,0.214,1.76548672566372,1.86448598130841,0.000836266392899761
KLF13,1.79078568056723e-12,0.489783942384636,2.77305622176298e-10,0.436916511069619,9.99720436007173e-51,0.676700752571868,6.27130975709763e-47,0.64597099170795,0.209,0.27,0.275,0.774074074074074,0.76,0.00108236435688595
MITF,0.000249834041851763,0.245238730328087,0.00019551098216696,0.249826620432115,2.44145444382285e-81,0.863949049459218,1.02729180461737e-74,0.827010894614641,0.859,0.6,0.125,1.43166666666667,6.872,0.00168910359559078
SMAD4,8.88012512062356e-06,0.302320618831688,3.51148548253127e-05,0.280074686583089,6.8149005453511e-49,0.663824597753206,2.35074737645524e-48,0.66000111679518,0.454,0.27,0.229,1.68148148148148,1.9825327510917,0.00192906785950037
KLF9,1.48904045291526e-10,0.44379834622566,7.77496030993097e-09,0.398399573219525,7.73344336248341e-41,0.604050141018529,1.82082045456238e-33,0.543684122195903,0.564,0.53,0.358,1.06415094339623,1.57541899441341,0.00635465655
KLF12,1.92748075708156e-07,0.357588690317418,3.78059225669397e-06,0.315390770872233,7.18538878149822e-70,0.798920719265457,9.88039343452718e-76,0.783512185099237,0.27,0.313,0.121,0.862619808306709,2.23140495867769,0.00857675483798415
