dc_nonlam_p_val	dc_nonlam_delta	sc_nonlam_p_val	sc_nonlam_delta	id	LAM3.pct	Other.pct	pct.fc	rra
ABL1	0.999999973666458	-0.220012608453551	0.999999977374571	-0.220913475100757	ENSG00000097007	0.195	0.216	0.902777777777778	0.253711589370753
APEX1	0.992978695632784	-0.0992984401331492	0.999999101685822	-0.193046462396636	ENSG00000100823	0.234	0.287	0.815331010452962	0.0350544856995394
ARID1A	0.819337685992673	-0.0369045020028798	0.99427873272297	-0.0997441514191869	ENSG00000117713	0.132	0.281	0.469750889679715	0.620282509066799
ARID1B	5.18973025613423e-05	0.156923978874708	0.995518236357993	-0.0835194756453247	ENSG00000049618	0.22	0.417	0.52757793764988	0.0584611406215243
ARID4A	0.0132399716142519	0.0897142983297479	0.996849522934145	-0.0899252568911086	ENSG00000032219	0.137	0.201	0.681592039800995	0.119564143266135
ARID5B	0.999999999999536	-0.288684526189524	0.970598175052593	-0.0758317531882952	ENSG00000150347	0.468	0.403	1.16129032258065	0.206837566114794
ARNT	0.999972178552626	-0.162948317605473	0.99999999858318	-0.240181964024206	ENSG00000143437	0.146	0.149	0.979865771812081	0.168305669189599
ATF1	0.999999999999998	-0.31896517466633	1	-0.366934085261601	ENSG00000123268	0.102	0.186	0.548387096774194	1
ATF2	0.896864516822928	-0.0510964939177703	0.999999714947257	-0.202184402312695	ENSG00000115966	0.112	0.198	0.565656565656566	1
ATF3	1	-0.363706541923108	0.999999999999998	-0.317306696953121	ENSG00000162772	0.229	0.333	0.687687687687688	1
ATF4	0.99999999999954	-0.288733095718768	0.999999999999869	-0.295655480139233	ENSG00000128272	0.185	0.494	0.374493927125506	1
ATF6	1	-0.433744538994218	1	-0.350656179246093	ENSG00000118217	0.107	0.353	0.303116147308782	1
ATF7	1	-0.357094217527713	1	-0.464341257362086	ENSG00000170653	0.107	0.243	0.440329218106996	1
BACH1	0.999999999998989	-0.284330930204605	0.999999995098012	-0.231818560919191	ENSG00000156273	0.21	0.219	0.958904109589041	0.468011876665118
BACH2	2.13819939833298e-06	0.185867738794053	0.874904222052477	-0.0460261294255304	ENSG00000112182	0.102	0.074	1.37837837837838	0.0107764249272524
BCL6	0.0410085274982979	0.0703088089917407	0.999999999999965	-0.302778397843317	ENSG00000113916	0.171	0.268	0.638059701492537	0.558344962829766
BCLAF1	0.999999999999468	-0.287925320669278	0.999999985879528	-0.224457210980638	ENSG00000029363	0.249	0.433	0.575057736720554	0.511518722472479
