,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,nonLAM.pct,pct.fc,Score
MYOCD,3.9829106963805e-249,0.890430005899049,0,0.877000455390758,0.126,0.014,9,4.90230587205743e-07
HOXA10,9.473349266859e-240,0.873344419297657,2.80108690738926e-236,0.866934435183236,0.273,0.002,136.5,1.70470787576938e-06
MITF,7.09023764535205e-124,0.62485796368493,1.41747947547396e-112,0.595115293820741,0.547,0.125,4.376,4.13164701724935e-05
TCF21,3.85019318802099e-204,0.805167768912199,9.74521467793343e-188,0.770978063575215,0.455,0.062,7.33870967741935,5.94424694553019e-05
ZEB2,1.15059738274163e-96,0.550538275208023,1.06919437778004e-133,0.648676909731224,0.497,0.133,3.73684210526316,5.94424694553019e-05
SRF,1.58234025858445e-217,0.831451540863668,1.66498754262139e-195,0.787746886028832,0.182,0.095,1.91578947368421,0.000120328167160077
PURA,3.17381510528156e-139,0.663129215409824,1.58198942184668e-121,0.618317317613086,0.259,0.288,0.899305555555556,0.0018177632951281
MSC,2.61732731151325e-90,0.531687450767511,1.04755555041668e-76,0.488885612796251,0.101,0.012,8.41666666666667,0.00213643228454055
PBX1,7.29929822844506e-52,0.399269313346947,1.25169023566627e-53,0.406290649663746,0.576,0.279,2.06451612903226,0.00318043815016265
NR2F1,1.04055992742454e-87,0.523784744888515,5.68401326753173e-68,0.459391408877392,0.323,0.095,3.4,0.00366476213676108
KLF12,5.9557726077143e-120,0.61469220311469,6.42467043226282e-113,0.561293316000582,0.209,0.121,1.72727272727273,0.00430964367400786
NFATC4,3.1116515909543e-99,0.557973461150921,7.80146192184447e-87,0.521096752524587,0.11,0.033,3.33333333333333,0.00469677280861017
MEF2A,1.41654090344962e-114,0.60048674962816,1.31797973567906e-101,0.56475783602143,0.402,0.365,1.1013698630137,0.00621694190479367
NR2F2,7.44705070166571e-46,0.374400750947065,3.27267891139475e-36,0.330647579401345,0.429,0.186,2.30645161290323,0.00741489310865469
SMARCA1,5.7112501737991e-101,0.562945226715675,1.79785828906569e-79,0.497917737730322,0.321,0.196,1.63775510204082,0.00866544673717045
TFE3,2.97878401522275e-123,0.623254153228266,3.22609350663039e-96,0.549228376070725,0.184,0.113,1.6283185840708,0.00867461280994395
ZFPM2,2.70770344058475e-93,0.540621397035566,9.14250193191855e-124,0.614121090630674,0.292,0.1,2.92,0.00920913050470667
CEBPZ,1.36058060441668e-102,0.5675534813447,1.140165983228e-87,0.515493436813439,0.234,0.299,0.782608695652174,0.0117698600344529
HOXD3,2.18610718041999e-65,0.450280678542641,1.88576811274522e-56,0.415710856228328,0.155,0.006,25.8333333333333,0.0165609972885545
MAF,1.20301879025123e-63,0.444041439934334,3.10984143502494e-64,0.44615712251344,0.286,0.086,3.32558139534884,0.0178697869177863
NCOR1,4.46985809040532e-69,0.463229434692863,1.44461152554199e-53,0.406045150942151,0.551,0.468,1.17735042735043,0.0198237127965193
EGR2,9.46257121289611e-75,0.482471047704837,1.48543048469877e-53,0.405997415079618,0.133,0.05,2.66,0.0235650444512413
KLF13,1.16110117878839e-112,0.595348975703956,1.85862741615535e-78,0.491809681645004,0.18,0.275,0.654545454545454,0.0257995533433364
PITX2,5.16771904912972e-86,0.51856388869975,1.03113611057495e-46,0.378053819816432,0.106,0.001,106,0.02783203125
PBRM1,1.37033713561046e-26,0.280361674380407,5.10247358753785e-21,0.245019332764043,0.484,0.333,1.45345345345345,0.0433335602329151
ZFHX3,4.83191102859519e-86,0.518654154769141,1.25689541552189e-44,0.351511170608285,0.383,0.3,1.27666666666667,0.0442912560249129
RORA,2.35385373497127e-71,0.471049787099094,3.03512644981352e-59,0.427859815440766,0.329,0.3,1.09666666666667,0.0673877971791699
FOXF1,5.3790534451555e-71,0.469826458015658,6.08563797104438e-68,0.455466240385935,0.184,0.099,1.85858585858586,0.0673877971791699
SMAD2,6.98004742879685e-75,0.482910092704398,2.20056477346057e-44,0.368061147297359,0.329,0.366,0.898907103825137,0.0768361366920918
CREB3L1,4.20010746376366e-26,0.27758164602416,1.88470498045685e-19,0.230976139564878,0.246,0.189,1.3015873015873,0.0844602668157699
NR4A1,1.18475358078136e-59,0.429387154815575,2.95600348483801e-38,0.340387465280879,0.431,0.403,1.06947890818859,0.0872635417197913
HAND2,2.00358523452173e-29,0.296053446675033,9.08065913523475e-56,0.41442443459812,0.236,0.001,236,0.09375
RARB,8.15231214719959e-43,0.361176823837905,2.80283986543271e-40,0.34976295526322,0.126,0.064,1.96875,0.111317661931343
SMAD3,1.74903072115578e-27,0.285401738147607,1.99091815113988e-16,0.215114454669046,0.244,0.197,1.23857868020305,0.139879300552424
FOXO1,4.62884302404369e-36,0.329918943776628,2.04052565224367e-20,0.242780692597912,0.244,0.198,1.23232323232323,0.153973723298191
EMX2,5.94077274516505e-33,0.314504893212221,3.358584042421e-26,0.182113669031492,0.333,0,Inf,0.153973723298191
TWIST1,2.27236732959438e-51,0.397286218817862,7.1333554312256e-31,0.303762918615404,0.23,0.003,76.6666666666667,0.169232261826533
SMAD4,1.76054354501175e-40,0.350685241279017,7.04190816162651e-18,0.225562778229282,0.277,0.229,1.20960698689956,0.185730597075841
TSC22D1,3.65820176200005e-35,0.325540883241516,1.01312495084754e-27,0.286180920688921,0.555,0.671,0.827123695976155,0.193318603928779
TRERF1,6.94759079875056e-34,0.319203726249977,9.79972422643057e-14,0.174015022272918,0.277,0.048,5.77083333333333,0.20354804161041
FOXO3,9.45230639803611e-16,0.210072048356793,2.24024385764782e-12,0.182923564941283,0.532,0.382,1.39267015706806,0.20354804161041
ZNF148,9.35660128721802e-33,0.313501398967906,9.22758662454742e-66,0.451564132949114,0.342,0.336,1.01785714285714,0.21403598272028
SKI,7.89027010476461e-47,0.378545598107973,9.96438255308985e-44,0.299881946140621,0.253,0.214,1.18224299065421,0.222767653986067
GTF3A,4.62509862086899e-20,0.240442260012506,3.50122750167864e-12,0.181214027617877,0.331,0.281,1.1779359430605,0.243476354888917
NFE2L1,1.05163188455951e-15,0.209722436521714,2.58122523425787e-13,0.167048397397255,0.273,0.177,1.54237288135593,0.243476354888917
NR2C2,3.81854014021889e-59,0.427486205533029,7.89945466806264e-64,0.444700319773017,0.172,0.168,1.02380952380952,0.253971488220281
TWIST2,3.58135124387743e-17,0.220537914976651,2.1298881127736e-10,0.165031934615299,0.302,0.108,2.7962962962963,0.265765045047189
SP5,7.68158118197585e-14,0.195156387266633,1.68091192637908e-286,0.269371390007931,0.222,0.005,44.4,0.278462456681863
SATB1,8.73731262555397e-63,0.440922367224026,1.32329133652072e-44,0.369018831771741,0.133,0.108,1.23148148148148,0.28462108069286
YBX1,2.79529205480633e-11,0.173228135361207,3.01148908365761e-14,0.198423248541531,0.764,0.696,1.09770114942529,0.303732745044816
PKNOX1,2.42780087452413e-53,0.405154827652193,1.10899584998545e-38,0.335309192001031,0.164,0.116,1.41379310344828,0.313733039504233
BHLHE41,1.14386584059962e-28,0.291947069309557,6.30989972855207e-23,0.258318117201798,0.176,0.027,6.51851851851852,0.313733039504233
