,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,nonLAM.pct,pct.fc,Score
NFKBIZ,7.81938582187155e-182,0.734570113381296,4.77006681407738e-220,0.739460952208623,0.488,0.159,3.06918238993711,4.57937840815379e-07
ARID1B,1.58756859544072e-140,0.644527371660277,1.45294775049108e-162,0.663942092468285,0.95,0.883,1.07587768969422,1.17177749387118e-05
THRB,6.50156219610333e-126,0.609508769827235,2.07088684127114e-97,0.534666696432733,0.839,0.322,2.6055900621118,3.72888596760463e-05
PURA,7.02006272831199e-144,0.652301798144556,1.04032908341981e-128,0.616362406555114,0.408,0.261,1.5632183908046,0.000112483356431228
FOXF1,1.58840178205179e-102,0.548846702017787,3.73386859155467e-88,0.507004621181768,0.108,0.005,21.6,0.000233741492939924
TCF7L1,5.32577524932694e-144,0.652578113403229,3.54998140558645e-117,0.587577249795652,0.544,0.508,1.07086614173228,0.000270808607110576
GTF2IRD1,1.6324022419007e-91,0.517841035890434,2.08852464395918e-61,0.421565044925219,0.75,0.366,2.04918032786885,0.000329022973295436
SMAD3,9.91350516718983e-127,0.611518958438347,3.78486813489157e-110,0.569326147178314,0.614,0.488,1.25819672131148,0.000553708072988863
PITX2,5.17243883922368e-93,0.522169844390056,1.44501205245538e-74,0.466133462424062,0.186,0.001,186,0.000762640849302382
NSD2,1.87607064366579e-124,0.605898459331916,2.98920469646085e-121,0.597175043660161,0.495,0.322,1.53726708074534,0.00170097648860137
KLF12,4.1578150056476e-107,0.561246031027991,2.74821968086799e-96,0.531502681100075,0.443,0.383,1.15665796344648,0.00403488849734631
SRF,1.65895321611398e-99,0.540522778286281,1.4886210635453e-58,0.41138661694167,0.254,0.133,1.90977443609023,0.0054735991872761
NFATC4,3.17982747613916e-95,0.528490629368219,3.45369799938082e-101,0.54517490109637,0.284,0.15,1.89333333333333,0.00684973538881833
TEF,6.15226467563907e-110,0.568769208414554,1.64633328956581e-73,0.462718981311219,0.117,0.078,1.5,0.0110285250661298
CLOCK,1.89613476479357e-48,0.372756529637015,4.1143973288266e-43,0.350659729606622,0.625,0.435,1.4367816091954,0.0210574702909079
TP53,2.01445316925438e-160,0.689363879583729,1.6397929049618e-56,0.403875972635585,0.141,0.147,0.959183673469388,0.0247081495665803
PRDM6,1.4559543684224e-47,0.369181468430541,1.00692849372595e-46,0.365748775185127,0.362,0.159,2.27672955974843,0.0301369764740099
FOXO3,8.83239733803383e-69,0.447119996020747,6.45719675964572e-65,0.433962415641598,0.668,0.532,1.25563909774436,0.030370652229428
ZFHX3,4.72742315148996e-30,0.28964379810304,1.3517314956906e-65,0.436277118942459,0.939,0.622,1.5096463022508,0.0347279567979707
SREBF1,2.57246920552259e-42,0.347244269346866,2.3050772877996e-21,0.24078417134601,0.503,0.165,3.04848484848485,0.0391093198436984
BACH1,1.09203486203869e-60,0.419094853094672,3.28272071471991e-20,0.233545534052184,0.683,0.408,1.67401960784314,0.0492622704475222
NR3C1,1.04497599159428e-36,0.322166750285813,1.22505661074891e-25,0.265927293250192,0.664,0.479,1.38622129436326,0.0492622704475222
MYOCD,3.43876480943079e-71,0.455134117669176,2.65263635398987e-57,0.406802055268535,0.278,0.261,1.06513409961686,0.0664793972837945
ZFPM1,1.18433956807606e-60,0.418968738972358,4.87196653424613e-64,0.424965622151906,0.139,0.119,1.16806722689076,0.0788250637675236
IKZF4,4.98636981444106e-57,0.405790596508049,2.81050697523596e-42,0.287169493855461,0.117,0.071,1.64788732394366,0.0806063982166263
CREB1,1.67394564417816e-33,0.306931615987981,6.52434116418438e-30,0.288921383511088,0.581,0.433,1.34180138568129,0.103697123351432
IKZF2,3.08127297990138e-37,0.324620100789467,3.70346375241067e-38,0.328833369953428,0.252,0.106,2.37735849056604,0.11561731393696
TFE3,9.71387620247234e-69,0.446981348817954,1.53682256716192e-53,0.39269078579673,0.187,0.125,1.496,0.125289786137879
ZNF160,6.50164630204298e-66,0.437395108887012,8.8843238917086e-106,0.354136680292475,0.36,0.238,1.51260504201681,0.129522874814837
TCF20,2.29343554004281e-23,0.252866648415368,5.84217760894496e-19,0.218941949512835,0.497,0.348,1.42816091954023,0.138964062948607
RFX2,1.07436515208044e-56,0.404557067227835,3.53415042627649e-48,0.371668109929216,0.373,0.478,0.780334728033473,0.144212943197268
NR3C2,3.56253053175214e-28,0.279798671728465,1.96990778064921e-31,0.296677206204031,0.575,0.435,1.32183908045977,0.167625214424056
RORA,4.34904895252689e-35,0.314559562094168,7.13989895560848e-54,0.393959564365789,0.965,0.879,1.09783845278726,0.178872019785597
SREBF2,2.57590671008076e-44,0.355761280849492,1.89699196988415e-16,0.208243398689431,0.72,0.377,1.90981432360743,0.183705779541586
NR4A1,1.59198803163978e-40,0.339433026938681,2.49019112363947e-69,0.448961183874782,0.373,0.285,1.30877192982456,0.183705779541586
PPARA,2.13347155479593e-30,0.291420362260858,1.9161267859496e-36,0.320941837498428,0.364,0.211,1.72511848341232,0.201051826430679
NFATC3,9.08924132427109e-40,0.3360804279107,7.06316325906499e-37,0.322893277294797,0.547,0.447,1.22371364653244,0.241106898758409
ZNF407,2.49804572196992e-41,0.342961676581508,1.66481272893922e-15,0.201415219781274,0.703,0.544,1.29227941176471,0.284714312052241
PPARGC1B,6.08540241916059e-20,0.23183183112614,6.56996082141563e-28,0.267490599210494,0.458,0.146,3.13698630136986,0.284714312052241
PBX1,4.08216679397974e-20,0.232941792066012,3.8856431281096e-59,0.413507253324498,0.991,0.932,1.06330472103004,0.298693658960962
SMAD4,1.48735067935149e-27,0.276467613932556,2.18877876050253e-30,0.291363375910558,0.306,0.188,1.62765957446809,0.309637951173402
SMAD2,1.32867996914072e-47,0.369342636012318,1.48289626658777e-21,0.241965805839867,0.499,0.471,1.05944798301486,0.318108084269412
MTF1,4.00305231155671e-44,0.354954463793693,3.9444004815832e-42,0.346437452291067,0.132,0.11,1.2,0.332887650961677
AR,4.39934184736377e-58,0.409667822451682,6.58156747201606e-15,0.196975376021789,0.766,0.474,1.61603375527426,0.336353822247598
REL,1.78135612347568e-41,0.343602038662203,2.03215761256091e-16,0.208030532150681,0.304,0.221,1.37556561085973,0.364963577393826
MITF,3.46000976007425e-39,0.333485296934134,2.38600754149165e-20,0.234426570443941,0.924,0.74,1.24864864864865,0.364963577393826
FOSB,1.38049959344276e-61,0.422296663498147,6.80020169036702e-33,0.303952267762998,0.191,0.208,0.918269230769231,0.368687681629609
MAFF,3.68781512417847e-36,0.319613918455862,8.36528807663184e-19,0.224413030800437,0.302,0.098,3.08163265306122,0.395573132901885
ID2,5.85998205676701e-17,0.211847442644511,1.16201981324422e-12,0.179315678139527,0.403,0.121,3.33057851239669,0.463237338333506
MEF2A,5.13774479002119e-35,0.314215294039776,1.50179466034264e-19,0.229301128016409,0.887,0.82,1.08170731707317,0.484351389945381
MAX,6.03837020664382e-17,0.211756186152278,4.10153611813667e-13,0.183002557923394,0.675,0.475,1.42105263157895,0.500526208266802
RLF,1.02218027893116e-16,0.210148035263389,4.34326611605397e-12,0.173572394010284,0.711,0.451,1.57649667405765,0.540283561821563
PBRM1,3.58829186090785e-21,0.239592941212411,9.98726105207984e-11,0.161837122436055,0.829,0.594,1.3956228956229,0.582638432438224
FOXP1,1.33711681761095e-07,0.131544862749061,1.29079535694911e-24,0.260128785235091,0.978,0.814,1.2014742014742,0.584891760544713
BRCA1,2.46695949744347e-22,0.246713297559222,1.0202380998244e-09,0.153263712071276,0.315,0.223,1.41255605381166,0.675681955296484
HOXD3,1.33106991572709e-12,0.17882943378284,5.11773220167012e-15,0.196088073089792,0.57,0.431,1.32250580046404,0.675681955296484
DNMT1,4.56432649369566e-33,0.304802558941707,1.07369753365879e-18,0.223693945307987,0.278,0.231,1.2034632034632,0.726654154359748
PKNOX1,3.75606641475428e-12,0.175072642909429,4.76631565950293e-18,0.219210235766827,0.417,0.293,1.42320819112628,0.780791223371047
ID3,4.52865853692576e-51,0.383150761600051,5.32487980486028e-23,0.250701167103954,0.269,0.221,1.21719457013575,0.838248453440038
ZFPM2,4.63296041362644e-10,0.156511150720868,2.58686234077939e-06,0.115694824190255,0.974,0.736,1.32336956521739,0.859016042258806
BHLHE40,9.87911738606055e-06,0.109110648692663,2.14833672825248e-27,0.275599893938806,0.551,0.098,5.62244897959184,0.859016042258806
FOXO1,2.57535484843497e-26,0.269700142132966,1.73874621448983e-17,0.215513172855071,0.766,0.715,1.07132867132867,0.86687105934607
ZNF362,8.0228654450082e-21,0.237412185209163,2.32263821914773e-16,0.207491413860725,0.26,0.192,1.35416666666667,0.963772926406959
YBX1,3.32546515426821e-54,0.395220118100784,0.00684393158402878,0.0630321908255501,0.273,0.238,1.14705882352941,1
RXRB,2.9808248196182e-47,0.367916606449132,8.0188410086766e-11,0.162486101009579,0.104,0.097,1.07216494845361,1
RFX3,4.93825106957184e-36,0.319019967938813,1.2132173879741e-15,0.202423936930406,0.698,0.605,1.15371900826446,1
CEBPB,5.29781665856279e-31,0.294505458352378,5.78477751774474e-13,0.181793115657225,0.206,0.081,2.54320987654321,1
NFATC2,7.62601469282606e-29,0.283348470944599,5.83234210108831e-25,0.262099024652178,0.16,0.217,0.737327188940092,1
ZNF148,3.0466006665584e-28,0.280160956086044,2.18842497951378e-07,0.129159660870509,0.816,0.653,1.24961715160796,1
CREB5,3.41371485670205e-28,0.27953410623274,1.91396227687277e-56,0.392169879639345,0.236,0.501,0.471057884231537,1
MNT,1.21882153342209e-27,0.276934079521612,6.6423003194866e-17,0.203431870762007,0.224,0.092,2.43478260869565,1
