	dc_p_val	dc_delta	sc_p_val	sc_delta	LAM.pct	Control.pct	pct.fc	Score
STAT3	3.10E-192	0.584	1.80E-140	0.498	0.684	0.440	1.555	2.57E-08
NRF1	2.22E-164	0.539	8.85E-112	0.443	0.207	0.065	3.185	3.25E-05
EPAS1	4.09E-128	0.475	3.61E-110	0.440	0.513	0.155	3.310	5.25E-05
YBX1	4.46E-108	0.436	9.60E-99	0.416	0.553	0.375	1.475	5.02E-04
STAT1	1.66E-96	0.411	1.26E-80	0.375	0.252	0.069	3.652	9.38E-04
HIF1A	1.11E-62	0.330	8.87E-52	0.299	0.577	0.159	3.629	2.72E-03
AR	1.16E-119	0.459	1.74E-82	0.380	0.113	0.075	1.507	3.93E-03
NFKBIZ	1.79E-79	0.373	7.96E-68	0.337	0.469	0.243	1.930	4.18E-03
GATA6	4.42E-77	0.367	1.82E-68	0.345	0.358	0.095	3.768	4.18E-03
NFKB1	1.96E-96	0.411	9.06E-75	0.361	0.347	0.141	2.461	1.04E-02
MYC	3.19E-49	0.291	4.50E-40	0.262	0.394	0.126	3.127	2.32E-02
NR3C1	2.05E-54	0.307	3.87E-53	0.303	0.436	0.224	1.946	7.30E-02
PRRX1	7.08E-24	0.199	7.62E-53	0.246	0.417	0.206	2.024	2.77E-01
EGR1	9.25E-37	0.250	4.73E-33	0.236	0.572	0.456	1.254	5.27E-01
CTNNB1	1.13E-21	0.189	2.72E-34	0.241	0.423	0.288	1.469	1.00E+00
TCF4	5.62E-18	0.171	6.07E-34	0.240	0.667	0.497	1.342	1.00E+00
ZEB1	8.93E-15	0.153	1.03E-06	0.096	0.329	0.221	1.489	1.00E+00
SMAD2	4.27E-04	0.070	8.58E-17	0.164	0.289	0.133	2.173	1.00E+00

