	dc_p_val	dc_delta	sc_p_val	sc_delta	LAM.pct	Control.pct	pct.fc	Score	mean_delta
SMAD3	0.00E+00	0.397	0.00E+00	0.406	0.187	0.090	2.078	1.09E-04	0.401
NFKBIZ	0.00E+00	0.311	0.00E+00	0.304	0.643	0.475	1.354	2.01E-04	0.308
NR3C2	0.00E+00	0.391	0.00E+00	0.370	0.315	0.179	1.760	2.75E-04	0.380
STAT3	0.00E+00	0.346	0.00E+00	0.300	0.742	0.651	1.140	5.68E-04	0.323
ETV6	0.00E+00	0.285	0.00E+00	0.305	0.270	0.130	2.077	1.61E-03	0.295
BCL3	1.21E-256	0.220	0.00E+00	0.262	0.400	0.160	2.500	3.01E-03	0.241
CUX1	0.00E+00	0.270	0.00E+00	0.282	0.517	0.358	1.444	4.41E-03	0.276
NFKB1	0.00E+00	0.274	0.00E+00	0.257	0.377	0.215	1.753	5.17E-03	0.265
TEAD1	7.94E-214	0.201	3.22E-230	0.209	0.442	0.287	1.540	1.02E-02	0.205
TCF7L1	7.45E-198	0.193	3.40E-247	0.216	0.419	0.262	1.599	1.60E-02	0.205
NFAT5	2.30E-262	0.223	2.49E-232	0.210	0.422	0.318	1.327	4.13E-02	0.216
MECOM	6.53E-280	0.230	1.83E-215	0.202	0.605	0.491	1.232	1.62E-01	0.216
HIF1A	1.92E-82	0.124	3.64E-56	0.102	0.603	0.352	1.713	8.23E-01	0.113
PML	9.51E-06	0.029	2.33E-299	0.233	0.201	0.095	2.116	9.67E-01	0.131
KLF4	1.61E-23	0.064	2.32E-22	0.063	0.283	0.103	2.748	1.00E+00	0.064
