	dc_lam12_p_val	dc_lam12_delta	sc_lam12_p_val	sc_lam12_delta	dc_nonlam_p_val	dc_nonlam_delta	sc_nonlam_p_val	sc_nonlam_delta	LAM1.pct	LAM2.pct	nonLAM.pct	pct.fc.12	pct.fc.nl	Score
MYOCD	4.21E-39	0.918	1.12E-36	0.887	1.17E-99	0.959	6.17E-163	0.964	0.264	0.017	0.014	15.529	18.857	7.68E-13
TCF21	7.92E-30	0.795	5.33E-22	0.674	8.28E-89	0.904	2.51E-84	0.879	0.724	0.400	0.062	1.810	11.677	3.43E-09
SRF	2.52E-25	0.728	4.53E-19	0.623	9.74E-98	0.949	2.10E-93	0.927	0.387	0.157	0.095	2.465	4.074	2.45E-08
PURA	7.25E-28	0.766	3.65E-16	0.568	2.28E-86	0.891	6.35E-81	0.861	0.411	0.339	0.288	1.212	1.427	5.90E-07
HOXA10	1.15E-15	0.558	1.85E-14	0.533	2.01E-105	0.987	1.81E-105	0.987	0.466	0.261	0.002	1.785	233.000	1.27E-06
MEF2A	7.58E-24	0.704	1.01E-18	0.617	2.35E-83	0.875	6.53E-66	0.775	0.663	0.357	0.365	1.857	1.816	5.79E-06
PITX2	1.79E-12	0.490	3.42E-09	0.408	1.34E-68	0.791	5.24E-57	0.719	0.209	0.070	0.001	2.986	209.000	5.79E-06
SMAD2	3.52E-17	0.588	4.89E-10	0.431	2.10E-59	0.735	3.86E-49	0.666	0.466	0.409	0.366	1.139	1.273	3.99E-04
EGR2	3.42E-10	0.435	2.33E-09	0.413	7.93E-47	0.649	2.28E-40	0.600	0.196	0.226	0.050	0.867	3.920	5.12E-04
FOXF1	1.61E-22	0.683	9.38E-16	0.560	2.45E-39	0.592	4.48E-37	0.569	0.337	0.139	0.099	2.424	3.404	7.37E-04
SKI	1.52E-08	0.390	2.08E-08	0.375	2.31E-34	0.551	2.69E-43	0.511	0.399	0.226	0.214	1.765	1.864	8.36E-04
KLF13	1.79E-12	0.490	2.77E-10	0.437	1.00E-50	0.677	6.27E-47	0.646	0.209	0.270	0.275	0.774	0.760	1.08E-03
MITF	2.50E-04	0.245	1.96E-04	0.250	2.44E-81	0.864	1.03E-74	0.827	0.859	0.600	0.125	1.432	6.872	1.69E-03
SMAD4	8.88E-06	0.302	3.51E-05	0.280	6.81E-49	0.664	2.35E-48	0.660	0.454	0.270	0.229	1.681	1.983	1.93E-03
KLF9	1.49E-10	0.444	7.77E-09	0.398	7.73E-41	0.604	1.82E-33	0.544	0.564	0.530	0.358	1.064	1.575	6.35E-03
KLF12	1.93E-07	0.358	3.78E-06	0.315	7.19E-70	0.799	9.88E-76	0.784	0.270	0.313	0.121	0.863	2.231	8.58E-03
NR4A1	9.66E-05	0.263	4.85E-04	0.232	8.06E-70	0.799	7.85E-59	0.731	0.712	0.374	0.403	1.904	1.767	8.67E-03
CXXC1	5.24E-08	0.375	9.22E-06	0.302	5.41E-46	0.643	2.72E-34	0.550	0.166	0.104	0.088	1.596	1.886	1.05E-02
SMAD1	3.94E-07	0.348	4.47E-06	0.313	1.89E-39	0.593	2.55E-32	0.534	0.141	0.087	0.155	1.621	0.910	1.97E-02
MEF2D	6.08E-08	0.373	1.41E-07	0.362	1.24E-29	0.510	9.87E-22	0.431	0.282	0.226	0.133	1.248	2.120	2.63E-02
TFCP2	7.10E-12	0.476	1.09E-07	0.365	3.88E-49	0.666	2.23E-39	0.593	0.147	0.139	0.146	1.058	1.007	2.76E-02
GATA6	7.63E-18	0.601	3.50E-15	0.548	2.72E-05	0.183	9.24E-23	0.442	0.564	0.235	0.202	2.400	2.792	3.03E-02
MAX	1.50E-04	0.255	1.30E-03	0.212	4.75E-16	0.364	3.76E-12	0.310	0.552	0.357	0.270	1.546	2.044	5.95E-02
TCF7L2	2.63E-04	0.244	1.84E-03	0.205	2.08E-17	0.381	6.06E-13	0.322	0.503	0.278	0.276	1.809	1.822	5.95E-02
KLF15	2.35E-06	0.322	4.01E-04	0.236	2.88E-25	0.468	6.99E-24	0.453	0.166	0.017	0.044	9.765	3.773	6.45E-02
SIRT1	2.88E-18	0.608	2.34E-12	0.487	1.13E-13	0.332	2.20E-12	0.314	0.202	0.096	0.101	2.104	2.000	7.32E-02
NFATC4	1.71E-02	0.149	1.70E-03	0.206	4.19E-73	0.818	4.20E-70	0.800	0.184	0.122	0.033	1.508	5.576	7.32E-02
THRB	2.86E-07	0.352	4.67E-10	0.431	2.64E-14	0.341	1.08E-14	0.346	0.411	0.130	0.194	3.162	2.119	8.76E-02
GTF3A	5.58E-09	0.402	9.29E-08	0.367	4.31E-31	0.523	1.54E-24	0.460	0.399	0.470	0.281	0.849	1.420	9.96E-02
IKZF4	7.67E-05	0.267	1.35E-03	0.211	6.29E-78	0.845	1.44E-107	0.809	0.123	0.061	0.071	2.016	1.732	1.36E-01
SMAD3	1.16E-04	0.259	5.40E-04	0.230	2.93E-43	0.623	8.80E-38	0.580	0.319	0.296	0.197	1.078	1.619	1.40E-01
KLF5	4.63E-11	0.456	5.14E-11	0.455	1.14E-41	0.611	1.34E-28	0.500	0.129	0.104	0.378	1.240	0.341	1.50E-01
NFIA	6.07E-04	0.228	3.72E-04	0.238	1.89E-25	0.469	7.73E-22	0.432	0.822	0.643	0.519	1.278	1.584	1.82E-01
NACC1	7.85E-06	0.304	7.11E-06	0.302	2.84E-31	0.524	2.07E-33	0.501	0.110	0.078	0.076	1.410	1.447	2.15E-01
SREBF1	1.72E-06	0.327	3.08E-04	0.241	2.96E-29	0.506	5.21E-20	0.412	0.221	0.191	0.121	1.157	1.826	2.18E-01
FOXO3	4.77E-04	0.233	2.79E-03	0.195	4.90E-40	0.598	8.90E-33	0.538	0.828	0.617	0.382	1.342	2.168	2.18E-01
MEF2C	7.74E-10	0.425	5.44E-08	0.374	8.03E-20	0.410	3.13E-17	0.379	0.282	0.165	0.271	1.709	1.041	2.82E-01
RLF	7.85E-06	0.304	1.98E-05	0.289	1.60E-12	0.316	3.46E-09	0.261	0.436	0.304	0.194	1.434	2.247	3.07E-01
