Category	ID	Name	Source	Total_HitCount	LAM2_FDR	LAM3_FDR	LAM2_HitCount	LAM3_HitCount	LAM2_Hits	LAM3_Hits	Selected
Coexpression	M41671	TRAVAGLINI_LUNG_AIRWAY_SMOOTH_MUSCLE_CELL	C8: Cell Type Signature	166	0.2462	1.266E-49	5	34	THSD4,CPED1,IGFBP7,JAK2,CDH13	TPM1,RPL10A,RPL21,TPM2,CRYAB,DES,RPL34,MYH11,RPL37A,RPL38,DSTN,MYL6,MYLK,MYL9,RPLP1,CSRP1,ACTA2,PPP1R14A,KCNMB1,COX7C,ACTG2,WFDC1,UQCRQ,RPL14,UQCRB,NDUFA4,RPS27A,TAGLN,PLN,RPL5,CNN1,HSPB1,SOD3,HSPB7	x
Coexpression	M41716	FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	C8: Cell Type Signature	306	8.65E-10	7.512E-32	26	29	EPS8,PPP1R15A,MFAP4,SPARCL1,FOS,FOSB,ID3,IER2,IGFBP7,ISG15,FRZB,CTSD,SPARC,GEM,PTK2,BGN,JUN,JUNB,IER3,MAFB,DUSP1,EBF1,LGALS1,LGALS3BP,EGR1,TIMP3	TPM1,CKB,TPM2,CRYAB,S100A6,GSTP1,SELENOW,TOMM7,MYH11,DSTN,MYL6,MYLK,MYL9,CALM1,PPDPF,PEBP1,CSRP1,ACTA2,ACTB,GPX3,PPP1R14A,UQCRQ,UQCRB,NDUFA4,TAGLN,PLN,CCNI,HSPB1,SOD3	x
Coexpression	MM1335	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	M2:CGP: Chemical and Genetic Perturbations	1567	3.166E-100	0.04049	183	12	DOK6,EPS8,PDE1A,CPNE8,MAN1A1,MAN2A1,SMIM3,PDGFRA,PDGFRB,ESR1,ACP5,SERPINF1,SLC24A3,MEG3,CHN1,CPED1,ABCA8,SVEP1,PGR,ADM,SLIT2,COLEC12,FAP,MFAP4,FBN1,DLC1,GRK3,AEBP1,SPON2,CTHRC1,CYP7B1,COL14A1,PLAGL1,SPARCL1,MMP2,GPNMB,MMP11,MMP14,ITM2B,MMP16,MMP19,SDC2,BICC1,CXCL12,COL1A1,COL1A2,GULP1,COL3A1,COL4A1,VIM,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL8A1,PRRX1,SFRP1,SFRP4,FN1,ABI3BP,PAMR1,KLF6,SGCD,FOS,FOSB,RHOBTB3,ICAM1,MXRA8,DOCK10,ITGA8,CCDC80,CHST11,APOC1,APOD,APOE,ARL15,FAS,PDPN,POSTN,MOXD1,MICU3,IGF1,SNCAIP,IGFBP4,IGFBP7,ATRNL1,VCAN,PDGFD,SNAI2,SH3RF3,STARD13,DOCK4,CYP1B1,HTRA1,SPARC,ARHGAP24,TNFSF10,TSHZ2,INHBA,ASPN,FXYD5,NBL1,IRS1,BCL2,ISLR,PTEN,DCN,PTGDS,GEM,ZEB2,BGN,NRP1,PRDM1,XYLT1,JAK2,JUNB,GJB2,PTPRE,RBMS3,SULF1,SPHK1,NTM,NAV3,NID1,C1R,C1S,C3,GFPT2,C7,PID1,CRISPLD2,CNTN4,TCF4,DPT,DPYD,AKT3,RARRES1,CD248,CAMK2D,DUSP1,DDR2,PSD3,LAMA2,LAMA4,LAMB1,HTRA3,EBF1,TDO2,RUNX2,RUNX1,TYMP,ECM1,ADAM12,EMILIN1,LGALS1,LDB2,TFPI,THBS2,THY1,FSTL1,FRMD6,P2RX7,TIMP1,TIMP2,EGR1,TIMP3,TLE4,LRP1,CD68,LHFPL2,SPRED1,ROBO2,PAPPA,RORA,CLMP,TNFAIP6,LUM,CDH11,DCLK1,CDH13,RCN3,PCOLCE	MYH11,ACTA2,KCNMB1,ACTG2,WFDC1,GREM1,TAGLN,SMOC2,PTGER3,PLN,NUPR1,SOD3	x
Coexpression	M41675	TRAVAGLINI_LUNG_ADVENTITIAL_FIBROBLAST_CELL	C8: Cell Type Signature	296	5.057E-79	0.6546	87	1	PDGFRA,MATN2,SERPINF1,MEG3,PPP1R15A,KLF4,ABCA8,SVEP1,ADD3,ADM,SLIT2,S100A10,COLEC12,FBLN1,FBLN2,FBN1,OAF,FCGRT,MMP2,GPNMB,LTBP4,PLTP,BICC1,CXCL12,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,LIMA1,PRRX1,SFRP1,SFRP4,ABI3BP,PAMR1,ANXA2,FOS,FOSB,OSR2,CCDC80,APOD,IER2,PDPN,MOXD1,IGF1,IGFBP4,IGFBP6,IL1R1,CTSL,CYP1B1,TSHZ2,ISLR,DCN,NRP1,JUN,JUNB,NTM,MYDGF,C1R,C1S,C3,GFPT2,C7,PID1,CLEC2B,NOVA1,DPT,RARRES1,CD248,DUSP1,HTRA3,LGALS3BP,THBS2,THY1,FSTL1,LMNA,TIMP1,TIMP2,EGR1,LOXL1,LRP1,CLMP,LUM,DCLK1,RCN3,PCOLCE	S100A6	x
GO: Biological Process	GO:0007155	cell adhesion	 	1684	5.784E-29	0.2889	119	11	NRG1,PDE4D,PDGFRA,ACP5,LAMC3,MDK,KLF4,DSCAML1,SVEP1,SLIT2,S100A10,FAP,MFAP4,FBLN1,ARID1B,FBLN2,FBN1,NRXN3,DLC1,LRFN5,SPON2,RIN2,COL14A1,SPARCL1,MMP2,GPNMB,MMP14,CXCL12,COL1A1,COL3A1,COL5A1,FNDC3B,COL6A1,COL6A2,COL6A3,COL8A1,SFRP1,FN1,ANK3,ABI3BP,COL28A1,ANXA2,PPFIBP1,FAT3,ICAM1,MXRA8,ITGA8,CCDC80,APOD,APP,PDPN,POSTN,SNED1,IGF1,TENM4,IGFBP2,IGFBP7,PLPP3,VCAN,SNAI2,PRKCA,PRLR,CD276,PDZD2,SOX4,CYP1B1,FXYD5,BCL2,ISLR,PTEN,ITGAV,ITGB8,PTK2,FREM1,NRP1,JAK1,JAK2,MAGI2,NEO1,PTPRD,PXDN,PTPRG,BRAF,SULF1,NTM,NID1,TLN2,ADAM17,SDK1,DOCK1,VMP1,CNTN4,DPT,CLASP1,PRICKLE1,KIF26B,DUSP1,DDR2,LAMA2,LAMA4,LAMB1,SEMA5A,ZMIZ1,RUNX1,ADAM12,EMILIN1,LGALS1,LGALS3BP,IL1RAPL1,THBS2,THY1,LRP1,ROBO1,ROBO2,LSAMP,TNFAIP6,CDH11,MARCKS,CDH13	TPM1,GSTP1,MYL9,CSRP1,ACTB,ZFHX3,CLSTN2,GREM1,SMOC2,PPIA,HSPB1	x
GO: Biological Process	GO:0016477	cell migration	 	1894	1.246E-28	0.2929	126	12	EPS8,NRG1,PDE4D,PDGFRA,PDGFRB,MATN2,ACP5,SERPINF1,MDK,KLF4,LYST,SVEP1,PGR,SLIT2,FAP,FBLN1,DLC1,SRGAP1,RIN2,MITF,CTHRC1,CYP7B1,PLCG2,MMP2,GPNMB,MMP14,SDC2,CXCL12,COL1A1,COL3A1,VIM,COL5A1,FNDC3B,ABCC1,LIMA1,SFRP1,SH3RF1,FN1,GDF15,FAT3,ICAM1,DOCK10,APOD,APOE,LMO4,APP,FAS,PDPN,POSTN,SETD2,IGF1,IGFBP6,PLPP3,VCAN,PDGFD,SNAI2,AUTS2,PRKCA,RAPGEF2,IL1R1,STARD13,DOCK4,CYP1B1,ARHGAP32,SPARC,ARHGAP24,ARID4B,MYO5A,MYO9B,DACH1,NBL1,IRS1,BCL2,PTEN,DCN,ITGAV,ZEB2,ITGB8,PTK2,GAB2,NRP1,JAK2,MAGI2,JUN,BMPR1A,NEO1,PTPRG,BRAF,SULF1,SPHK1,NAV3,ADAM17,KCNQ1OT1,DOCK1,AKT3,CD248,CLASP1,PRICKLE1,CAMK2D,DUSP1,DDR2,LAMA2,LAMA4,LAMB1,SEMA5A,GRN,ZMIZ1,ECM1,EMILIN1,LPAR1,LDB2,THY1,FSTL1,LMNA,TIMP1,EGR1,LRP1,ROBO1,SPRED1,TNFAIP6,CDH11,DCLK1,CDH13,RBFOX2,SPATA13,LARGE1	TPM1,GSTP1,MYLK,NACA,MIF,ACTA2,GLUL,GREM1,SMOC2,PTGER3,PPIA,HSPB1	x
GO: Biological Process	GO:0030198	extracellular matrix organization	 	390	6.155E-27	0.4208	56	3	THSD4,ADAMTS19,PDGFRA,MATN2,FAP,MFAP4,FBLN1,AEBP1,COL14A1,MMP2,MMP11,MMP14,MMP16,MMP19,LTBP4,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,FKBP10,COL5A1,COL5A2,COL6A1,COL8A1,FN1,ABI3BP,COL28A1,ANXA2,ITGA8,CCDC80,APP,PDPN,POSTN,CYP1B1,MYO1E,PTK2,PXDN,SULF1,NID1,CRISPLD2,DPT,CLASP1,PRICKLE1,DDR2,LAMA2,LAMB1,SEMA5A,RUNX1,SERPINH1,EMILIN1,TIMP3,LOXL1,LRP1,LUM,LARGE1	MYH11,GREM1,SMOC2	x
GO: Biological Process	GO:0001568	blood vessel development	 	952	2.922E-26	0.2946	84	7	PDGFRA,PDGFRB,SERPINF1,PPP1R15A,MDK,KLF4,MEIS1,ADM,SLIT2,FAP,NRXN3,RIN2,MMP2,GPNMB,MMP14,MMP19,CXCL12,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,FKBP10,COL5A1,COL8A1,PRRX1,SFRP1,FN1,SGCD,ANXA2,APOD,APOE,SETD2,IGFBP7,PLPP3,PDGFD,PRKCA,RAPGEF2,STARD13,SOX4,CYP1B1,SPARC,ARHGAP24,MYO1E,PTEN,DCN,ITGAV,ITGB8,PTK2,NRP1,PRDM1,JAK1,JUN,JUNB,BMPR1A,ALDH1A2,PXDN,SULF1,SPHK1,MYDGF,C3,TCF4,AKT3,PRICKLE1,LAMA4,SEMA5A,GRN,ZMIZ1,RUNX1,TYMP,ECM1,ADAM12,EMILIN1,THBS2,THY1,EGR1,LOXL1,LRP1,ROBO1,SPRED1,ROBO2,RORA,CDH13,LARGE1	MYLK,HPGD,ACTA2,GLUL,GREM1,SMOC2,HSPB1	x
GO: Biological Process	GO:0030182	neuron differentiation	 	1804	1.128E-17	0.6518	102	8	NRG1,MATN2,SERPINF1,LAMC3,MDK,KLF4,TTC3,CHN1,DSCAML1,MEIS1,ADM,SLIT2,ARID1B,NRXN3,CTHRC1,MMP2,SDC2,CXCL12,VIM,PRRX1,SFRP1,SLC4A7,FN1,ANK3,ABI3BP,FOS,FAT3,DOCK10,ID3,APOD,APOE,LMO4,APP,FAS,IER2,POSTN,TENM4,DNM3,AUTS2,PRKCA,TMEM108,MAPK6,RAPGEF2,SOX4,SOX5,ARHGAP32,PSAP,INHBA,NBL1,BCL2,PTEN,ZEB2,PTK2,ASAP1,NRP1,PRDM1,XYLT1,JAK2,MAGI2,JUN,BMPR1A,NEO1,ALDH1A2,PTPRD,PTPRG,BRAF,NFIA,SPHK1,NTM,DIAPH2,C3,ADAM17,SDK1,CNTN4,TCF4,TCF12,PRICKLE1,DDR2,LAMA2,LAMB1,SEMA5A,GRN,ZMIZ1,RUNX2,RUNX1,LPAR1,LGALS1,IL1RAPL1,THY1,TIMP2,SCARB2,LRP1,ROBO1,ROBO2,RORA,PBX1,PBX3,CDH11,DCLK1,MARCKS,VPS13B,RBFOX2	PCP4,S100A6,ACTB,ZFHX3,UQCRQ,PTGER3,PPIA,HSPB1	x
GO: Biological Process	GO:0030199	collagen fibril organization	 	76	1.739E-14	0.4593	20	1	ADAMTS19,AEBP1,COL14A1,MMP11,COL1A1,COL1A2,COL3A1,FKBP10,COL5A1,COL5A2,COL6A1,ANXA2,CYP1B1,PXDN,DPT,DDR2,SERPINH1,EMILIN1,LOXL1,LUM	GREM1	x
