Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List	selected
GO: Biological Process	GO:0002181	cytoplasmic translation	 	3.29E-29	1.68E-25	1.68E-25	1.53E-24	38	181	RPL22,RPL30,RPL34,RPL35A,RPL37A,RPL38,RPLP0,RPLP1,RPS3A,RPS4X,RPS7,RPS8,RPS15A,RPS19,RPS23,RPS24,RPS26,RPS27A,UBA52,RACK1,RWDD1,SH3BGRL,EIF3F,RPL10A,EIF3K,YBX1,RPL14,EEF2,RPL3,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL12,RPL15,RPL17,RPL19	x
GO: Biological Process	GO:0006936	muscle contraction	 	2.43E-16	1.24E-12	2.48E-13	2.26E-12	38	409	TPM1,TPM2,TPM4,ACTA2,MYL9,MYL6B,LMOD1,ALDOA,FXYD1,PLN,CNN1,FLNA,BIN1,HTR2B,ANK2,ANXA6,CRYAB,SLC8A1,SOD1,MYH11,MYL6,MYLK,PPP1R12B,PTGER3,DES,SLMAP,KCNMA1,TRIM63,DMD,CACNA1C,CACNB2,CALD1,CALM1,SYNM,DTNA,RGS2,EEF2,TMOD1	x
GO: Biological Process	GO:0061061	muscle structure development	 	4.23E-14	2.16E-10	3.31E-11	3.01E-10	52	860	TPM1,IGFN1,PDLIM7,CFL2,ACTB,ACTN1,MYL9,PIK3R1,UCHL1,MYL6B,ARID5B,LMOD1,FHL1,FHL2,COL3A1,COL6A3,ITGA11,BIN1,ANK2,ITGA8,UQCC2,PDLIM4,CRYAB,SLC8A1,RANBP3L,CSRP1,CSRP2,ZFHX3,HDAC9,MYH11,ILK,MYL6,MYLK,NACA,POPDC2,DES,PLCB1,TRIM63,DMD,WDR1,TAGLN,TCF21,YBX1,ADAM12,NUPR1,RGS2,LGALS1,ZFPM2,EEF2,TMOD1,TMSB4X,GREM1	x
GO: Biological Process	GO:0006119	oxidative phosphorylation	 	4.75E-14	2.43E-10	3.31E-11	3.01E-10	23	165	PARK7,UQCRB,UQCRH,COX4I1,COX5B,COX6B1,COX6C,COX7B,COX7C,UQCC2,ATP5MG,UQCRQ,ATP5F1E,ATP5ME,ATP5PF,NDUFA1,NDUFA4,NDUFB1,NDUFB2,NDUFB4,NDUFS5,UQCR11,NUPR1	x
GO: Biological Process	GO:0016477	cell migration	 	3.78E-10	1.93E-06	8.77E-08	8.00E-07	74	1894	TPM1,SYNPO2,MAP1B,CFL1,PARK7,CORO1C,MATN2,ACP5,ITGB1BP1,SERPINF1,ACTA2,RPS19,MDK,PFN1,PFN2,TUBB2A,FBN2,RACK1,CD99,PIK3R1,MIF,ARID5B,MITF,OSBPL8,FGF7,PLAT,MMP2,GPNMB,ALDOA,VEGFD,HSPB1,VCL,COL1A1,COL3A1,FLNA,SEMA3C,ITGA11,HTR2B,CLIC4,APOE,PPIA,KANK2,SLC8A1,GLIPR2,NEXN,PALLD,HDAC9,ILK,MYLK,MYO5A,NACA,NBL1,NDN,SMOC2,PTGER3,GADD45A,TUBA1A,GLUL,NAV3,PLCB1,WDR1,UNC5D,RARRES2,ROR2,DDR2,BMERB1,GPC6,GSTP1,APPL2,CCBE1,CD63,TMSB4X,GREM1,EMX2	x
GO: Biological Process	GO:0010761	fibroblast migration	 	1.33E-05	6.79E-02	5.10E-04	4.65E-03	9	78	CORO1C,ITGB1BP1,ACTA2,ARID5B,ITGA11,SLC8A1,ILK,DDR2,APPL2	x
GO: Biological Process	GO:0030199	collagen fibril organization	 	7.84E-05	4.00E-01	2.04E-03	1.86E-02	8	76	AEBP1,CRTAP,COL1A1,COL1A2,COL3A1,ANTXR2,DDR2,GREM1	x
GO: Biological Process	GO:2000045	regulation of G1/S transition of mitotic cell cycle	 	4.26E-03	1.00E+00	4.60E-02	4.19E-01	10	201	ACTB,PKD2,GPNMB,FHL1,KANK2,PLCB1,DDR2,RPS27L,APPL2,RPL17	
Interaction	int:ACTB	ACTB interactions	 	1.20E-26	1.42E-22	7.87E-24	7.84E-23	81	1098	TPM1,TPM2,RPL22,TPM4,TPT1,RPL35A,RPL38,RPLP0,MAP1B,RPS3A,RPS4X,CFL1,CFL2,CORO1C,ESR1,RPS8,ACTA2,ACTB,ACTG2,RPS26,RPS27A,PFN1,PFN2,NREP,MEIS2,CKB,SLC25A3,AP2M1,RACK1,LMOD1,UQCRB,FBXO32,CNN3,VCL,CAP2,VDAC2,FLNA,ANK2,COX4I1,SH3BGRL,COX7C,CLIC4,SORBS1,APOE,SKP1,PPIA,ATP5MG,ENAH,SUMO2,EIF3F,NEXN,PALLD,SOD1,MYH11,GAPDH,NDN,ZYX,NDUFS5,RPL10A,DST,TUBA1A,BTF3,KCNMA1,WDR1,NPM1,DSTN,CALD1,YBX1,DTNA,CAPZB,NUPR1,COTL1,EEF1A1,TIMP2,TMOD1,TMSB4X,RPL3,RPL6,RPL7,RPL7A,RPL15	x
Interaction	int:FN1	FN1 interactions	 	1.35E-23	1.60E-19	4.32E-21	4.30E-20	67	849	RPL22,RPL30,RPLP0,RPS3A,RPS4X,CFL1,CORO1C,MATN2,RPS7,RPS8,ACTB,RPS15A,RPS19,RPS23,RPS24,RPS26,RPS27A,PFN1,AP2M1,RACK1,MIF,PLAT,MMP2,ALDH1B1,ALDOA,HSPB1,VCL,VDAC2,COL1A1,COL1A2,FLNA,COL6A2,BAG2,ITGA8,PPIA,KANK2,EIF3F,SNRPD2,PRPS2,ILK,MYL6,GAPDH,NACA,SRP14,ST13,ZYX,RPL10A,EIF3K,NPM1,YBX1,CAPZB,RPL14,LDHB,LGALS1,EEF1A1,GSTP1,EEF2,TIMP2,RPL3,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL12,RPL15,RPL17	x
