Category	ID	Name	Source	LAM1_FDR	LAM2_FDR	LAM1_HitCount	LAM2_HitCount	LAM1_Hits	LAM2_Hits
Coexpression	M42501	FOROUTAN_TGFB_EMT_UP	C2:CGP: Chemical and Genetic Perturbations	0.00008014	1.028E-19	11	23	"TPM1,MYL9,KCNMA1,TAGLN,AMIGO2,SEMA3C,CALD1,TGFB1I1,IGFBP5,GREM1,PALLD"	"COL3A1,VIM,COL5A1,COL5A2,TCF4,COL6A3,HTRA1,SPARC,RUNX2,XYLT1,POSTN,FBN1,IGFBP7,SPHK1,VCAN,SERPINE1,SNAI2,PLAUR,TAGLN2,GFPT2,TNFAIP6,LUM,COL1A1"
Coexpression	M1406	JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	C2:CGP: Chemical and Genetic Perturbations	1	9.119E-14	0	13		"COL3A1,VIM,COL6A2,HTRA1,SPARC,PDGFRA,TNC,B2M,DCN,PPIC,CD68,SDC2,PCOLCE"
Coexpression	MM16617	ZHANG_UTERUS_C11_SMOOTH_MUSCLE_CELL	M8: Cell Type Signature	8.463E-21	1	16	0	"TPM1,PCP4,TPM2,MYH11,MYL6,MYLK,ACTA2,ACTG2,DES,MYL9,TAGLN,CNN1,FLNA,CALD1,TGFB1I1,CSRP1"	
Disease	HP_0000131	Uterine leiomyoma	GWAS	0.00001507	1	9	0	"NCAM1,ITPR1,KANK1,KCNMA1,ITGA11,RBPMS,PDLIM5,THRB,MYOCD"	
GO: Biological Process	GO:2001233	regulation of apoptotic signaling pathway	 	0.7224	0.02769	5	11	"MIF,PTTG1IP,GSTP1,ATF3,CTSK"	"RPL26,CTSC,AR,LGALS3,UBB,SERPINE1,SNAI2,CD44,PLAUR,IFI6,CXCL12"
GO: Biological Process	GO:0022409	positive regulation of cell-cell adhesion	 	0.4447	0.003344	6	12	"ZBTB16,ACTB,FOXO3,MAP3K8,PAWR,IL4R"	"KIF26B,B2M,ETS1,RUNX1,MDK,LGALS1,PDPN,IGFBP2,THY1,CD44,CCL5,PLAUR"
GO: Biological Process	GO:0060070	canonical Wnt signaling pathway	 	0.3689	0.004154	6	11	"KANK1,FOXO3,ROR2,RSPO3,EGR1,GREM1"	"MDK,ZEB2,IGFBP2,IGFBP4,IGFBP6,FRZB,SNAI2,CTHRC1,NID1,BICC1,COL1A1"
GO: Biological Process	GO:0032964	collagen biosynthetic process	 	0.6792	0.00002326	1	8	ERRFI1	"VIM,COL5A1,RUNX1,SERPINE1,ENG,RCN3,COL1A1,PCOLCE"
GO: Biological Process	GO:0032963	collagen metabolic process	 	0.395	8.447E-07	3	12	"TGFBR3,ERRFI1,CTSK"	"VIM,COL5A1,RUNX1,MFAP4,FAP,SERPINE1,MMP11,ENG,RCN3,COL1A1,PCOLCE,COL1A2"
GO: Biological Process	GO:0055001	muscle cell development	 	0.00001181	0.5104	16	3	"TPM1,HDAC9,MYH10,MYH11,ACTN4,POPDC2,ADRA1A,MYL9,LMOD1,DMD,FHL2,PDLIM5,SLC8A1,CSRP1,TMOD1,MYOCD"	"PDGFRA,SGCD,ENG"
